"Geographic Area Name","50 or more (2021)","MoE"
"Palatine village, Illinois","1,864","± 499"
"Peoria city, Illinois","2,998","± 977"
"Rockford city, Illinois","4,165","± 984"
"Schaumburg village, Illinois","3,199","± 925"
"Skokie village, Illinois","2,549","± 850"
"Springfield city, Illinois","2,858","± 923"
"Waukegan city, Illinois","2,781","± 1,023"
"Bloomington city, Indiana","3,219","± 1,013"
"Carmel city, Indiana","2,277","± 842"
"Evansville city, Indiana","2,931","± 839"
"Fort Wayne city, Indiana","4,281","± 791"
"Hammond city, Indiana","1,576","± 725"
"Indianapolis city (balance), Indiana","20,047","± 2,768"
"Lafayette city, Indiana","286","± 246"
"Noblesville city, Indiana","91","± 119"
"South Bend city, Indiana","2,607","± 733"
"Ames city, Iowa","1,809","± 838"
"Ankeny city, Iowa","1,321","± 694"
"Cedar Rapids city, Iowa","2,793","± 537"
"Davenport city, Iowa","2,574","± 979"
"Des Moines city, Iowa","8,864","± 1,626"
"Iowa City city, Iowa","2,526","± 875"
"Sioux City city, Iowa","949","± 472"
"Waterloo city, Iowa","1,372","± 485"
"West Des Moines city, Iowa","2,645","± 1,214"
"Kansas City city, Kansas","2,305","± 727"
"Lawrence city, Kansas","2,239","± 909"
"Olathe city, Kansas","1,930","± 616"
"Overland Park city, Kansas","5,584","± 1,211"
"Shawnee city, Kansas","222","± 303"
"Topeka city, Kansas","2,271","± 721"
"Wichita city, Kansas","8,130","± 1,597"
"Bowling Green city, Kentucky","1,293","± 602"
"Lexington-Fayette urban county, Kentucky","8,222","± 1,288"
"Louisville/Jefferson County metro government (balance), Kentucky","13,115","± 1,650"
"Baton Rouge city, Louisiana","8,500","± 1,707"
"Kenner city, Louisiana","936","± 597"
"Lafayette city, Louisiana","3,278","± 981"
"Lake Charles city, Louisiana","746","± 520"
"Metairie CDP, Louisiana","4,812","± 1,268"
"New Orleans city, Louisiana","15,860","± 2,011"
"Shreveport city, Louisiana","2,571","± 816"
"Portland city, Maine","3,594","± 1,000"
"Baltimore city, Maryland","33,486","± 3,138"
"Bethesda CDP, Maryland","9,720","± 1,052"
"Columbia CDP, Maryland","4,221","± 1,127"
"Ellicott City CDP, Maryland","890","± 536"
"Frederick city, Maryland","1,796","± 591"
"Gaithersburg city, Maryland","5,175","± 1,208"
"Germantown CDP, Maryland","1,177","± 596"
"Glen Burnie CDP, Maryland","375","± 239"
"Rockville city, Maryland","7,150","± 1,380"
"Silver Spring CDP, Maryland","14,553","± 2,053"
"Waldorf CDP, Maryland","1,477","± 736"
"Boston city, Massachusetts","58,477","± 3,104"
"Brockton city, Massachusetts","2,591","± 775"
"Cambridge city, Massachusetts","17,856","± 2,011"
"Fall River city, Massachusetts","2,709","± 789"
"Framingham city, Massachusetts","3,375","± 873"
"Haverhill city, Massachusetts","1,750","± 775"
"Lawrence city, Massachusetts","3,764","± 885"
"Lowell city, Massachusetts","4,538","± 1,170"
"Lynn city, Massachusetts","4,253","± 944"
"Malden city, Massachusetts","5,224","± 1,280"
"New Bedford city, Massachusetts","2,445","± 600"
"Newton city, Massachusetts","2,366","± 689"
"Quincy city, Massachusetts","11,031","± 1,555"
"Somerville city, Massachusetts","3,740","± 929"
"Springfield city, Massachusetts","5,190","± 1,213"
"Worcester city, Massachusetts","8,244","± 1,367"
"Ann Arbor city, Michigan","5,168","± 1,277"
"Dearborn city, Michigan","1,984","± 634"
"Detroit city, Michigan","30,484","± 2,481"
"Farmington Hills city, Michigan","1,889","± 840"
"Flint city, Michigan","1,263","± 493"
"Grand Rapids city, Michigan","9,152","± 1,491"
"Kalamazoo city, Michigan","1,826","± 766"
"Lansing city, Michigan","3,613","± 855"
"Livonia city, Michigan","718","± 285"
"Novi city, Michigan","2,509","± 888"
"Rochester Hills city, Michigan","722","± 344"
"Southfield city, Michigan","5,862","± 987"
"Sterling Heights city, Michigan","2,042","± 624"
"Troy city, Michigan","1,207","± 498"
"Warren city, Michigan","958","± 409"
"Westland city, Michigan","1,896","± 682"
"Wyoming city, Michigan","1,578","± 790"
"Blaine city, Minnesota","1,351","± 553"
"Bloomington city, Minnesota","6,593","± 1,007"
"Brooklyn Park city, Minnesota","4,489","± 1,497"
"Duluth city, Minnesota","3,009","± 789"
"Eagan city, Minnesota","3,344","± 736"
"Minneapolis city, Minnesota","47,350","± 3,686"
"Plymouth city, Minnesota","5,386","± 1,395"
"Rochester city, Minnesota","6,391","± 1,296"
"St. Cloud city, Minnesota","4,565","± 1,424"
"St. Paul city, Minnesota","22,542","± 2,121"
"Woodbury city, Minnesota","1,969","± 919"
"Gulfport city, Mississippi","1,898","± 818"
"Jackson city, Mississippi","2,965","± 999"
"Columbia city, Missouri","2,416","± 723"
"Independence city, Missouri","1,999","± 793"
"Kansas City city, Missouri","22,693","± 2,627"
"Lee's Summit city, Missouri","1,236","± 703"
"O'Fallon city, Missouri","608","± 520"
"St. Charles city, Missouri","1,306","± 508"
"St. Joseph city, Missouri","1,359","± 547"
"St. Louis city, Missouri","23,485","± 2,518"
"Springfield city, Missouri","6,583","± 1,746"
"Billings city, Montana","1,901","± 568"
"Missoula city, Montana","1,449","± 600"
"Lincoln city, Nebraska","8,056","± 1,440"
"Omaha city, Nebraska","17,246","± 1,903"
"Enterprise CDP, Nevada","7,076","± 1,457"
"Henderson city, Nevada","6,593","± 1,555"
"Las Vegas city, Nevada","18,222","± 2,074"
"North Las Vegas city, Nevada","3,262","± 1,031"
"Paradise CDP, Nevada","20,740","± 1,947"
"Reno city, Nevada","9,484","± 1,335"
"Sparks city, Nevada","1,933","± 909"
"Spring Valley CDP, Nevada","12,407","± 2,706"
"Sunrise Manor CDP, Nevada","2,537","± 789"
"Manchester city, New Hampshire","2,528","± 704"
"Nashua city, New Hampshire","2,227","± 712"
"Bayonne city, New Jersey","2,328","± 864"
"Camden city, New Jersey","2,230","± 914"
"Clifton city, New Jersey","1,451","± 557"
"East Orange city, New Jersey","7,994","± 1,645"
"Elizabeth city, New Jersey","3,985","± 918"
"Jersey City city, New Jersey","38,693","± 2,534"
"Lakewood CDP, New Jersey","1,590","± 982"
"Newark city, New Jersey","19,238","± 2,815"
"Passaic city, New Jersey","2,096","± 743"
"Paterson city, New Jersey","4,560","± 1,100"
"Toms River CDP, New Jersey","943","± 469"
"Trenton city, New Jersey","6,828","± 1,239"
"Union City city, New Jersey","3,757","± 960"
"Albuquerque city, New Mexico","16,304","± 2,438"
"Las Cruces city, New Mexico","1,593","± 793"
"Rio Rancho city, New Mexico","891","± 574"
"Santa Fe city, New Mexico","2,014","± 964"
"Albany city, New York","5,838","± 1,392"
"Buffalo city, New York","8,410","± 1,916"
"Cheektowaga CDP, New York","748","± 445"
"Mount Vernon city, New York","6,623","± 1,295"
"New Rochelle city, New York","8,950","± 1,977"
