"Geographic Area Name","20 to 49 (2021)","MoE"
"Reno city, Nevada","6,678","± 1,459"
"Sparks city, Nevada","1,133","± 775"
"Spring Valley CDP, Nevada","3,434","± 1,387"
"Sunrise Manor CDP, Nevada","2,270","± 892"
"Manchester city, New Hampshire","5,464","± 1,194"
"Nashua city, New Hampshire","5,066","± 1,145"
"Bayonne city, New Jersey","2,485","± 911"
"Camden city, New Jersey","460","± 341"
"Clifton city, New Jersey","990","± 568"
"East Orange city, New Jersey","2,398","± 847"
"Elizabeth city, New Jersey","5,702","± 1,386"
"Jersey City city, New Jersey","13,698","± 2,109"
"Lakewood CDP, New Jersey","538","± 348"
"Newark city, New Jersey","7,923","± 1,782"
"Passaic city, New Jersey","1,604","± 527"
"Paterson city, New Jersey","2,138","± 854"
"Toms River CDP, New Jersey","681","± 604"
"Trenton city, New Jersey","1,637","± 838"
"Union City city, New Jersey","2,067","± 713"
"Albuquerque city, New Mexico","12,451","± 2,063"
"Las Cruces city, New Mexico","1,460","± 980"
"Rio Rancho city, New Mexico","450","± 609"
"Santa Fe city, New Mexico","1,610","± 709"
"Albany city, New York","2,238","± 841"
"Buffalo city, New York","4,670","± 1,165"
"Cheektowaga CDP, New York","483","± 438"
"Mount Vernon city, New York","3,553","± 1,277"
"New Rochelle city, New York","3,515","± 1,398"
"New York city, New York","573,237","± 14,445"
"Rochester city, New York","4,506","± 1,198"
"Schenectady city, New York","1,077","± 666"
"Syracuse city, New York","3,416","± 988"
"Yonkers city, New York","8,627","± 1,768"
"Asheville city, North Carolina","2,400","± 925"
"Cary town, North Carolina","3,227","± 1,070"
"Charlotte city, North Carolina","24,213","± 3,164"
"Concord city, North Carolina","1,937","± 1,012"
"Durham city, North Carolina","5,910","± 1,477"
"Fayetteville city, North Carolina","4,588","± 839"
"Gastonia city, North Carolina","672","± 423"
"Greensboro city, North Carolina","9,745","± 2,344"
"Greenville city, North Carolina","3,060","± 1,219"
"High Point city, North Carolina","2,089","± 1,249"
