"Geographic Area Name","Vacant (2024)","MoE"
"Skokie village, Illinois","793","± 581"
"Springfield city, Illinois","6,280","± 1,622"
"Waukegan city, Illinois","1,218","± 644"
"Bloomington city, Indiana","3,638","± 1,269"
"Carmel city, Indiana","2,575","± 1,130"
"Evansville city, Indiana","5,211","± 1,560"
"Fishers city, Indiana","1,988","± 1,302"
"Fort Wayne city, Indiana","8,330","± 1,650"
"Gary city, Indiana","10,485","± 1,508"
"Greenwood city, Indiana","2,153","± 1,226"
"Hammond city, Indiana","3,078","± 1,120"
"Indianapolis city (balance), Indiana","34,682","± 4,059"
"Lafayette city, Indiana","1,193","± 767"
"Muncie city, Indiana","4,634","± 1,386"
"Noblesville city, Indiana","1,290","± 1,038"
"South Bend city, Indiana","7,410","± 1,534"
"Ames city, Iowa","1,873","± 905"
"Ankeny city, Iowa","2,402","± 1,449"
"Cedar Rapids city, Iowa","5,604","± 1,521"
"Davenport city, Iowa","3,351","± 1,056"
"Des Moines city, Iowa","7,598","± 1,945"
"Iowa City city, Iowa","2,015","± 1,048"
"Sioux City city, Iowa","2,254","± 1,006"
"Waterloo city, Iowa","2,453","± 952"
"West Des Moines city, Iowa","1,732","± 966"
"Kansas City city, Kansas","6,017","± 1,308"
"Lawrence city, Kansas","2,497","± 1,311"
"Olathe city, Kansas","1,484","± 747"
"Overland Park city, Kansas","3,465","± 1,328"
"Shawnee city, Kansas","1,333","± 855"
"Topeka city, Kansas","2,416","± 1,018"
"Wichita city, Kansas","16,742","± 2,751"
"Bowling Green city, Kentucky","3,102","± 1,328"
"Lexington-Fayette urban county, Kentucky","8,325","± 2,237"
"Louisville/Jefferson County metro government (balance), Kentucky","26,053","± 3,060"
"Baton Rouge city, Louisiana","20,242","± 2,630"
"Kenner city, Louisiana","1,645","± 807"
"Lafayette city, Louisiana","6,679","± 1,719"
"Lake Charles city, Louisiana","8,525","± 1,613"
"Metairie CDP, Louisiana","5,384","± 1,606"
"New Orleans city, Louisiana","39,371","± 3,003"
"Shreveport city, Louisiana","12,674","± 2,035"
"Portland city, Maine","4,127","± 1,261"
"Baltimore city, Maryland","31,573","± 3,456"
"Bethesda CDP, Maryland","1,579","± 772"
"Columbia CDP, Maryland","1,407","± 1,004"
"Ellicott City CDP, Maryland","442","± 547"
"Frederick city, Maryland","2,513","± 1,066"
"Gaithersburg city, Maryland","2,087","± 1,016"
"Germantown CDP, Maryland","804","± 609"
"Glen Burnie CDP, Maryland","1,879","± 907"
"Rockville city, Maryland","1,337","± 854"
"Silver Spring CDP, Maryland","2,948","± 1,511"
"Waldorf CDP, Maryland","1,523","± 886"
"Boston city, Massachusetts","23,033","± 3,309"
"Brockton city, Massachusetts","1,203","± 577"
"Cambridge city, Massachusetts","5,852","± 1,720"
"Fall River city, Massachusetts","3,377","± 1,099"
"Framingham city, Massachusetts","1,584","± 1,004"
"Haverhill city, Massachusetts","1,878","± 862"
"Lawrence city, Massachusetts","865","± 557"
"Lowell city, Massachusetts","1,522","± 702"
"Lynn city, Massachusetts","1,692","± 849"
"Malden city, Massachusetts","2,078","± 1,106"
"New Bedford city, Massachusetts","1,920","± 860"
"Newton city, Massachusetts","1,742","± 863"
"Quincy city, Massachusetts","2,147","± 1,354"
"Somerville city, Massachusetts","1,399","± 754"
"Springfield city, Massachusetts","4,035","± 1,224"
"Waltham city, Massachusetts","1,233","± 833"
"Worcester city, Massachusetts","6,607","± 1,619"
"Ann Arbor city, Michigan","4,776","± 1,467"
"Dearborn city, Michigan","1,657","± 914"
"Detroit city, Michigan","75,601","± 3,281"
"Farmington Hills city, Michigan","3,622","± 1,225"
"Flint city, Michigan","8,554","± 1,315"
"Grand Rapids city, Michigan","4,636","± 1,655"
"Kalamazoo city, Michigan","2,816","± 1,080"
"Lansing city, Michigan","4,405","± 1,375"
"Livonia city, Michigan","1,908","± 975"
"Novi city, Michigan","1,216","± 846"
"Rochester Hills city, Michigan","1,834","± 928"
"Southfield city, Michigan","4,996","± 1,669"
"Sterling Heights city, Michigan","1,349","± 842"
"Troy city, Michigan","1,866","± 901"
"Warren city, Michigan","2,360","± 936"
"Westland city, Michigan","2,821","± 1,238"
"Wyoming city, Michigan","144","± 237"
"Blaine city, Minnesota","1,156","± 685"
"Bloomington city, Minnesota","1,427","± 882"
"Brooklyn Park city, Minnesota","1,024","± 698"
"Duluth city, Minnesota","1,949","± 837"
"Eagan city, Minnesota","768","± 535"
"Lakeville city, Minnesota","648","± 593"
"Maple Grove city, Minnesota","419","± 413"
"Minneapolis city, Minnesota","21,675","± 3,203"
"Plymouth city, Minnesota","1,496","± 828"
"Rochester city, Minnesota","4,297","± 1,549"
"St. Cloud city, Minnesota","1,819","± 814"
"St. Paul city, Minnesota","7,338","± 1,832"
"Woodbury city, Minnesota","1,560","± 987"
"Gulfport city, Mississippi","5,463","± 1,207"
"Jackson city, Mississippi","14,279","± 1,855"
"Columbia city, Missouri","2,879","± 1,162"
"Independence city, Missouri","5,782","± 1,464"
"Kansas City city, Missouri","24,296","± 3,062"
"Lee's Summit city, Missouri","1,155","± 727"
"O'Fallon city, Missouri","1,427","± 960"
