"Geographic Area Name","Owner-occupied housing units (2021)","MoE"
"Virginia Beach city, Virginia","119,144","± 3,354"
"Auburn city, Washington","18,795","± 1,955"
"Bellevue city, Washington","32,296","± 2,321"
"Bellingham city, Washington","16,600","± 1,556"
"Everett city, Washington","21,308","± 2,211"
"Federal Way city, Washington","19,653","± 1,862"
"Kennewick city, Washington","17,204","± 1,687"
"Kent city, Washington","26,144","± 1,746"
"Kirkland city, Washington","22,848","± 1,797"
"Marysville city, Washington","18,870","± 1,550"
"Pasco city, Washington","18,630","± 1,381"
"Redmond city, Washington","12,895","± 1,470"
"Renton city, Washington","21,560","± 1,890"
"Sammamish city, Washington","18,391","± 1,195"
"Seattle city, Washington","161,587","± 5,345"
"South Hill CDP, Washington","17,748","± 1,970"
"Spokane city, Washington","54,499","± 3,068"
"Spokane Valley city, Washington","25,467","± 2,228"
"Tacoma city, Washington","51,156","± 2,948"
"Vancouver city, Washington","41,484","± 2,446"
"Yakima city, Washington","20,569","± 1,992"
"Appleton city, Wisconsin","19,467","± 1,423"
"Eau Claire city, Wisconsin","15,959","± 1,458"
"Green Bay city, Wisconsin","27,157","± 2,085"
"Janesville city, Wisconsin","18,923","± 1,653"
"Kenosha city, Wisconsin","22,624","± 1,574"
"Madison city, Wisconsin","60,243","± 3,037"
"Milwaukee city, Wisconsin","96,044","± 3,817"
"Oshkosh city, Wisconsin","15,139","± 1,271"
"Racine city, Wisconsin","16,315","± 1,357"
"Waukesha city, Wisconsin","18,489","± 1,414"
"Cheyenne city, Wyoming","17,908","± 1,509"
"Bayamón zona urbana, Puerto Rico","42,641","± 2,009"
"Caguas zona urbana, Puerto Rico","17,965","± 1,755"
"Carolina zona urbana, Puerto Rico","35,384","± 2,667"
"Guaynabo zona urbana, Puerto Rico","20,281","± 1,516"
"Ponce zona urbana, Puerto Rico","29,128","± 1,850"
"San Juan zona urbana, Puerto Rico","66,489","± 3,044"
