"Geographic Area Name","Total Units (2021)","MoE"
"Lexington-Fayette urban county, Kentucky","147,590","± 1,002"
"Louisville/Jefferson County metro government (balance), Kentucky","288,859","± 2,059"
"Baton Rouge city, Louisiana","107,002","± 3,532"
"Kenner city, Louisiana","27,548","± 2,511"
"Lafayette city, Louisiana","56,725","± 2,575"
"Lake Charles city, Louisiana","40,810","± 2,855"
"Metairie CDP, Louisiana","66,619","± 3,008"
"New Orleans city, Louisiana","194,701","± 859"
"Shreveport city, Louisiana","90,211","± 2,457"
"Portland city, Maine","35,456","± 1,863"
"Baltimore city, Maryland","293,487","± 1,685"
"Bethesda CDP, Maryland","29,577","± 1,710"
"Columbia CDP, Maryland","43,548","± 1,926"
"Ellicott City CDP, Maryland","27,995","± 1,641"
"Frederick city, Maryland","35,383","± 1,684"
"Gaithersburg city, Maryland","29,266","± 1,847"
"Germantown CDP, Maryland","31,519","± 2,308"
"Glen Burnie CDP, Maryland","28,452","± 2,323"
"Rockville city, Maryland","26,760","± 2,076"
"Silver Spring CDP, Maryland","34,703","± 2,436"
"Waldorf CDP, Maryland","30,901","± 1,649"
"Boston city, Massachusetts","307,025","± 2,891"
"Brockton city, Massachusetts","38,391","± 1,817"
"Cambridge city, Massachusetts","57,581","± 2,734"
"Fall River city, Massachusetts","43,230","± 1,899"
"Framingham city, Massachusetts","27,159","± 1,496"
"Haverhill city, Massachusetts","26,413","± 1,566"
"Lawrence city, Massachusetts","31,378","± 1,964"
"Lowell city, Massachusetts","44,466","± 2,708"
"Lynn city, Massachusetts","39,222","± 2,389"
"Malden city, Massachusetts","28,151","± 2,302"
"New Bedford city, Massachusetts","44,717","± 2,387"
"Newton city, Massachusetts","31,501","± 1,514"
"Quincy city, Massachusetts","46,911","± 2,034"
"Somerville city, Massachusetts","37,251","± 1,882"
"Springfield city, Massachusetts","62,032","± 2,349"
"Worcester city, Massachusetts","82,375","± 3,165"
"Ann Arbor city, Michigan","54,874","± 2,249"
"Dearborn city, Michigan","38,133","± 1,987"
"Detroit city, Michigan","322,906","± 4,766"
"Farmington Hills city, Michigan","36,496","± 2,122"
"Flint city, Michigan","41,139","± 2,591"
"Grand Rapids city, Michigan","85,623","± 2,819"
"Kalamazoo city, Michigan","33,160","± 2,245"
"Lansing city, Michigan","55,557","± 1,918"
