"Geographic Area Name","1, detached (2024)","MoE"
"Louisville/Jefferson County metro government (balance), Kentucky","181,953","± 4,892"
"Baton Rouge city, Louisiana","60,696","± 3,487"
"Kenner city, Louisiana","20,099","± 1,704"
"Lafayette city, Louisiana","39,574","± 2,172"
"Lake Charles city, Louisiana","28,206","± 2,700"
"Metairie CDP, Louisiana","38,986","± 2,609"
"New Orleans city, Louisiana","93,626","± 3,663"
"Shreveport city, Louisiana","59,786","± 2,838"
"Portland city, Maine","13,209","± 1,450"
"Baltimore city, Maryland","45,426","± 3,525"
"Bethesda CDP, Maryland","16,009","± 1,375"
"Columbia CDP, Maryland","16,683","± 1,781"
"Ellicott City CDP, Maryland","14,391","± 1,480"
"Frederick city, Maryland","11,335","± 1,416"
"Gaithersburg city, Maryland","5,442","± 1,154"
"Germantown CDP, Maryland","8,150","± 1,319"
"Glen Burnie CDP, Maryland","17,440","± 2,097"
"Rockville city, Maryland","11,924","± 1,070"
"Silver Spring CDP, Maryland","10,338","± 1,505"
"Waldorf CDP, Maryland","16,944","± 2,027"
"Boston city, Massachusetts","36,490","± 3,089"
"Brockton city, Massachusetts","18,634","± 1,980"
"Cambridge city, Massachusetts","4,391","± 984"
"Fall River city, Massachusetts","9,526","± 1,504"
"Framingham city, Massachusetts","13,740","± 1,819"
"Haverhill city, Massachusetts","11,245","± 1,703"
"Lawrence city, Massachusetts","5,047","± 1,312"
"Lowell city, Massachusetts","15,724","± 1,682"
"Lynn city, Massachusetts","10,668","± 1,485"
"Malden city, Massachusetts","4,963","± 1,097"
"New Bedford city, Massachusetts","13,198","± 1,484"
"Newton city, Massachusetts","19,683","± 1,731"
"Quincy city, Massachusetts","14,860","± 1,626"
"Somerville city, Massachusetts","3,072","± 706"
"Springfield city, Massachusetts","29,218","± 2,201"
"Waltham city, Massachusetts","9,133","± 1,459"
"Worcester city, Massachusetts","27,314","± 2,619"
"Ann Arbor city, Michigan","21,709","± 1,549"
"Dearborn city, Michigan","27,800","± 1,985"
"Detroit city, Michigan","219,621","± 5,441"
"Farmington Hills city, Michigan","20,045","± 1,681"
"Flint city, Michigan","36,482","± 2,292"
"Grand Rapids city, Michigan","47,344","± 2,694"
"Kalamazoo city, Michigan","14,921","± 1,639"
"Lansing city, Michigan","32,853","± 1,964"
"Livonia city, Michigan","34,202","± 1,814"
"Novi city, Michigan","13,158","± 1,729"
