City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Arlington Heights village, Illinois","33,260","32,515","31,415","31,717","1,845",798,"23,138","23,778","8,277","7,939","33,260","32,515","33,260","32,515","17,900","17,107","1,420","1,518","2,964","2,739","3,069","4,245"
"Aurora city, Illinois","64,677","65,480","62,379","64,331","2,298","1,149","43,361","41,788","19,018","22,543","64,677","65,480","64,677","65,480","38,321","38,913","3,900","3,433","1,417","2,984","3,115","3,568"
"Bloomington city, Illinois","36,236","37,624","33,803","36,445","2,433","1,179","20,370","22,160","13,433","14,285","36,236","37,624","36,236","37,624","21,988","21,649","2,690","3,590","1,495","1,970",955,715
"Bolingbrook village, Illinois","25,524","25,621","24,600","25,230",924,391,"19,355","19,768","5,245","5,462","25,524","25,621","25,524","25,621","18,664","18,056","1,182",828,249,"1,199",249,606
"Champaign city, Illinois","41,755","40,828","37,423","38,098","4,332","2,730","17,362","15,622","20,061","22,476","41,755","40,828","41,755","40,828","18,476","18,518","6,943","5,243","3,801","4,734","3,191","5,529"
"Chicago city, Illinois","1,272,191","1,282,248","1,139,537","1,172,455","132,654","109,793","530,977","545,596","608,560","626,859","1,272,191","1,282,248","1,272,191","1,282,248","335,412","326,271","58,048","63,927","82,410","88,314","261,506","276,794"
"Cicero town, Illinois","25,983","24,754","24,737","22,225","1,246","2,529","13,719","11,414","11,018","10,811","25,983","24,754","25,983","24,754","10,123","10,751",670,"1,298",599,567,103,74
"Decatur city, Illinois","36,518","34,868","32,087","30,208","4,431","4,660","19,784","18,562","12,303","11,646","36,518","34,868","36,518","34,868","26,813","26,485","1,715",977,929,212,"1,418","2,690"
"Elgin city, Illinois","41,458","40,561","40,585","39,229",873,"1,332","28,944","29,037","11,641","10,192","41,458","40,561","41,458","40,561","25,780","26,144","1,908",640,667,611,"1,036","1,439"
"Evanston city, Illinois","34,093","33,934","31,157","32,312","2,936","1,622","17,816","17,043","13,341","15,269","34,093","33,934","34,093","33,934","10,495","11,650","1,975","2,605","4,145","5,095","6,688","6,607"
"Joliet city, Illinois","53,989","51,786","51,263","49,235","2,726","2,551","38,308","38,571","12,955","10,664","53,989","51,786","53,989","51,786","38,930","36,710","1,769","1,479",432,416,"2,035","2,372"
"Naperville city, Illinois","56,443","58,188","54,377","56,170","2,066","2,018","40,971","42,642","13,406","13,528","56,443","58,188","56,443","58,188","35,565","36,265","2,588","2,432","1,698","2,090","2,395","2,588"
"Palatine village, Illinois","28,010","30,398","26,402","29,783","1,608",615,"18,032","21,171","8,370","8,612","28,010","30,398","28,010","30,398","12,700","13,526","1,835","1,899","1,622","1,777","1,864","1,307"
"Peoria city, Illinois","53,890","54,176","50,176","50,011","3,714","4,165","30,386","29,731","19,790","20,280","53,890","54,176","53,890","54,176","37,293","35,461","3,225","4,183","1,661","2,174","2,998","2,482"
"Rockford city, Illinois","66,905","64,380","59,909","60,114","6,996","4,266","31,284","32,256","28,625","27,858","66,905","64,380","66,905","64,380","40,123","40,398","2,961","2,476","1,141","1,979","4,165","3,418"
"Schaumburg village, Illinois","32,977","32,794","31,569","31,275","1,408","1,519","19,903","20,744","11,666","10,531","32,977","32,794","32,977","32,794","12,100","13,559","1,952","1,184","1,549","1,607","3,199","2,854"
"Skokie village, Illinois","24,783","24,623","23,599","23,830","1,184",793,"16,573","17,934","7,026","5,896","24,783","24,623","24,783","24,623","13,043","13,150","1,204",787,"1,892","2,400","2,549","2,108"
"Springfield city, Illinois","57,997","57,799","51,317","51,519","6,680","6,280","33,394","32,188","17,923","19,331","57,997","57,799","57,997","57,799","38,334","36,302","2,996","2,926","1,033",908,"2,858","3,326"
"Waukegan city, Illinois","31,673","34,440","30,068","33,222","1,605","1,218","15,438","15,277","14,630","17,945","31,673","34,440","31,673","34,440","16,546","17,652","2,726","4,046","1,527","2,406","2,781","1,655"
"Bloomington city, Indiana","35,873","37,696","31,711","34,058","4,162","3,638","12,039","11,489","19,672","22,569","35,873","37,696","35,873","37,696","13,390","12,788","4,677","5,036","2,275","3,171","3,219","3,686"
"Carmel city, Indiana","42,773","43,665","39,994","41,090","2,779","2,575","28,830","29,637","11,164","11,453","42,773","43,665","42,773","43,665","29,082","29,383","3,057","2,515","1,465","1,095","2,277","3,517"
"Evansville city, Indiana","58,844","59,237","53,896","54,026","4,948","5,211","29,130","30,045","24,766","23,981","58,844","59,237","58,844","59,237","38,434","38,022","2,266","2,290","1,407","2,307","2,931","2,797"
"Fishers city, Indiana","37,546","40,343","35,466","38,355","2,080","1,988","27,512","29,222","7,954","9,133","37,546","40,343",,"40,343",,"30,136",,"1,075",,"1,068",,"2,567"
"Fort Wayne city, Indiana","117,245","120,521","109,640","112,191","7,605","8,330","68,004","70,514","41,636","41,677","117,245","120,521","117,245","120,521","81,136","81,242","6,622","4,992","3,287","4,354","4,281","6,242"
"Hammond city, Indiana","33,703","33,623","30,737","30,545","2,966","3,078","17,877","19,266","12,860","11,279","33,703","33,623","33,703","33,623","24,221","24,690","2,004","1,378",624,0,"1,576",909
"Indianapolis city (balance), Indiana","399,820","405,450","358,150","370,768","41,670","34,682","201,149","208,447","157,001","162,321","399,820","405,450","399,820","405,450","235,716","241,910","25,013","23,156","12,592","15,616","20,047","25,682"
"Lafayette city, Indiana","32,933","35,100","31,585","33,907","1,348","1,193","15,768","14,467","15,817","19,440","32,933","35,100","32,933","35,100","18,885","19,283","2,599","3,121","1,160","1,007",286,"2,088"
"Noblesville city, Indiana","25,883","29,064","25,035","27,774",848,"1,290","17,451","20,820","7,584","6,954","25,883","29,064","25,883","29,064","18,657","21,068",981,"2,122",943,703,91,136
"South Bend city, Indiana","49,249","49,377","42,707","41,967","6,542","7,410","25,976","25,835","16,731","16,132","49,249","49,377","49,249","49,377","35,824","35,133","2,409","1,623","1,684","1,582","2,607","2,830"
"Ames city, Iowa","27,954","28,700","25,901","26,827","2,053","1,873","11,138","9,929","14,763","16,898","27,954","28,700","27,954","28,700","10,665","9,967","4,402","4,445","4,432","5,584","1,809","1,694"
"Ankeny city, Iowa","28,444","31,328","27,720","28,926",724,"2,402","18,862","20,482","8,858","8,444","28,444","31,328","28,444","31,328","15,492","17,795","1,117","1,154","2,000","2,603","1,321","1,225"
"Cedar Rapids city, Iowa","64,442","64,678","59,107","59,074","5,335","5,604","42,205","39,269","16,902","19,805","64,442","64,678","64,442","64,678","40,857","38,942","5,832","6,561","3,547","4,100","2,793","3,371"
"Davenport city, Iowa","49,139","45,814","44,958","42,463","4,181","3,351","29,408","24,290","15,550","18,173","49,139","45,814","49,139","45,814","31,085","29,366","3,336","3,928","3,029","2,477","2,574","2,034"
"Des Moines city, Iowa","97,957","95,681","90,416","88,083","7,541","7,598","57,606","52,212","32,810","35,871","97,957","95,681","97,957","95,681","63,126","57,042","3,767","4,470","7,671","10,052","8,864","7,767"
"Iowa City city, Iowa","33,875","34,468","30,270","32,453","3,605","2,015","14,802","15,679","15,468","16,774","33,875","34,468","33,875","34,468","15,588","13,108","4,272","4,482","3,485","3,674","2,526","3,138"
"Sioux City city, Iowa","35,109","34,965","33,659","32,711","1,450","2,254","23,780","22,242","9,879","10,469","35,109","34,965","35,109","34,965","26,057","23,720",802,"1,364",727,"1,592",949,"1,327"
"Waterloo city, Iowa","33,190","32,083","29,948","29,630","3,242","2,453","18,803","19,338","11,145","10,292","33,190","32,083","33,190","32,083","22,473","21,394","1,254","1,519",32,496,"1,372","1,930"
"West Des Moines city, Iowa","37,031","36,235","36,066","34,503",965,"1,732","18,808","19,279","17,258","15,224","37,031","36,235","37,031","36,235","15,563","17,105","5,090","3,044","5,564","5,172","2,645","2,467"
"Kansas City city, Kansas","63,738","63,903","57,819","57,886","5,919","6,017","34,631","35,607","23,188","22,279","63,738","63,903","63,738","63,903","43,777","44,157","3,546","4,970","2,063","1,181","2,305","1,186"
"Lawrence city, Kansas","44,551","43,511","41,041","41,014","3,510","2,497","17,610","17,739","23,431","23,275","44,551","43,511","44,551","43,511","19,641","18,581","4,185","5,453","4,815","3,027","2,239","1,903"
"Olathe city, Kansas","54,720","56,011","53,285","54,527","1,435","1,484","40,494","41,262","12,791","13,265","54,720","56,011","54,720","56,011","40,169","40,413","2,200","1,873","1,736","1,708","1,930","1,652"
"Overland Park city, Kansas","85,708","89,184","82,593","85,719","3,115","3,465","50,359","51,609","32,234","34,110","85,708","89,184","85,708","89,184","48,672","50,276","4,903","6,462","2,251","3,315","5,584","6,847"
"Shawnee city, Kansas","28,651","30,142","27,114","28,809","1,537","1,333","19,611","20,785","7,503","8,024","28,651","30,142","28,651","30,142","20,409","19,921","2,159","2,495",552,567,222,"1,452"
"Topeka city, Kansas","61,068","60,213","55,844","57,797","5,224","2,416","32,592","32,869","23,252","24,928","61,068","60,213","61,068","60,213","41,881","38,408","3,240","3,359","2,835","2,801","2,271","2,980"
"Wichita city, Kansas","176,357","178,820","156,668","162,078","19,689","16,742","91,527","97,826","65,141","64,252","176,357","178,820","176,357","178,820","114,882","115,072","9,428","10,178","7,537","7,560","8,130","8,508"
"Bowling Green city, Kentucky","32,531","35,972","28,947","32,870","3,584","3,102","10,347","11,282","18,600","21,588","32,531","35,972","32,531","35,972","13,963","15,795","1,892","2,374","1,380","4,061","1,293","1,940"
"Lexington-Fayette urban county, Kentucky","147,590","151,485","139,303","143,160","8,287","8,325","75,129","76,373","64,174","66,787","147,590","151,485","147,590","151,485","86,669","89,564","12,328","11,604","6,277","6,894","8,222","8,478"
"Louisville/Jefferson County metro government (balance), Kentucky","288,859","295,381","264,336","269,328","24,523","26,053","161,709","162,462","102,627","106,866","288,859","295,381","288,859","295,381","190,354","181,953","13,700","21,564","8,802","13,560","13,115","17,589"
"Baton Rouge city, Louisiana","107,002","108,987","87,440","88,745","19,562","20,242","41,267","47,375","46,173","41,370","107,002","108,987","107,002","108,987","59,125","60,696","10,058","10,586","7,444","6,612","8,500","9,294"
"Kenner city, Louisiana","27,548","28,663","25,267","27,018","2,281","1,645","15,833","19,011","9,434","8,007","27,548","28,663","27,548","28,663","16,635","20,099","1,174","1,016","1,775","1,104",936,"1,255"
"Lafayette city, Louisiana","56,725","61,395","51,150","54,716","5,575","6,679","27,542","29,368","23,608","25,348","56,725","61,395","56,725","61,395","34,744","39,574","4,244","5,476","2,721","2,077","3,278","2,640"
"Lake Charles city, Louisiana","40,810","42,813","28,683","34,288","12,127","8,525","17,981","19,915","10,702","14,373","40,810","42,813","40,810","42,813","28,603","28,206","2,066",915,"3,079",479,746,"2,357"
"Metairie CDP, Louisiana","66,619","66,195","62,315","60,811","4,304","5,384","41,034","36,009","21,281","24,802","66,619","66,195","66,619","66,195","43,917","38,986","3,254","4,220","4,024","3,899","4,812","6,275"
"New Orleans city, Louisiana","194,701","196,906","158,827","157,535","35,874","39,371","83,516","83,242","75,311","74,293","194,701","196,906","194,701","196,906","93,519","93,626","7,367","9,876","7,560","7,250","15,860","17,081"
"Shreveport city, Louisiana","90,211","89,174","76,167","76,500","14,044","12,674","40,664","43,047","35,503","33,453","90,211","89,174","90,211","89,174","62,010","59,786","3,801","3,546","2,624","1,337","2,571","4,138"
"Portland city, Maine","35,456","39,175","32,523","35,048","2,933","4,127","15,631","15,113","16,892","19,935","35,456","39,175","35,456","39,175","13,558","13,209","2,655","3,378","1,906","2,883","3,594","3,215"
"Baltimore city, Maryland","293,487","297,571","254,370","265,998","39,117","31,573","123,249","128,624","131,121","137,374","293,487","297,571","293,487","297,571","48,023","45,426","14,038","12,310","8,114","7,759","33,486","39,692"
"Bethesda CDP, Maryland","29,577","30,878","27,748","29,299","1,829","1,579","18,220","18,660","9,528","10,639","29,577","30,878","29,577","30,878","16,250","16,009",654,512,"1,217","1,083","9,720","11,668"
"Columbia CDP, Maryland","43,548","42,337","42,050","40,930","1,498","1,407","27,629","26,788","14,421","14,142","43,548","42,337","43,548","42,337","19,016","16,683","5,039","4,925",339,"1,005","4,221","4,930"
"Ellicott City CDP, Maryland","27,995","28,472","27,318","28,030",677,442,"20,779","19,975","6,539","8,055","27,995","28,472","27,995","28,472","16,972","14,391","1,733","2,902","1,213",933,890,"1,490"
"Frederick city, Maryland","35,383","36,720","33,907","34,207","1,476","2,513","20,226","19,075","13,681","15,132","35,383","36,720","35,383","36,720","11,337","11,335","5,889","5,596",948,"1,290","1,796","2,234"
"Gaithersburg city, Maryland","29,266","28,620","26,764","26,533","2,502","2,087","12,715","13,699","14,049","12,834","29,266","28,620","29,266","28,620","5,004","5,442","4,609","3,842","2,013","1,378","5,175","5,405"
"Germantown CDP, Maryland","31,519","33,630","30,985","32,826",534,804,"20,251","20,625","10,734","12,201","31,519","33,630","31,519","33,630","7,522","8,150","5,583","5,230",662,"1,447","1,177","1,522"
"Glen Burnie CDP, Maryland","28,452","33,655","27,700","31,776",752,"1,879","18,169","18,841","9,531","12,935","28,452","33,655","28,452","33,655","15,689","17,440","4,756","6,638",118,122,375,912
"Rockville city, Maryland","26,760","27,944","25,537","26,607","1,223","1,337","14,315","14,601","11,222","12,006","26,760","27,944","26,760","27,944","10,755","11,924","1,435","1,111","2,248","1,501","7,150","8,216"
"Silver Spring CDP, Maryland","34,703","34,614","33,307","31,666","1,396","2,948","13,362","12,481","19,945","19,185","34,703","34,614","34,703","34,614","9,967","10,338","1,996","3,037","1,321","1,977","14,553","12,939"
"Waldorf CDP, Maryland","30,901","31,655","29,701","30,132","1,200","1,523","20,884","24,374","8,817","5,758","30,901","31,655","30,901","31,655","17,844","16,944","1,694",259,548,662,"1,477","1,409"
"Boston city, Massachusetts","307,025","318,010","271,941","294,977","35,084","23,033","94,497","105,927","177,444","189,050","307,025","318,010","307,025","318,010","36,969","36,490","22,082","25,269","24,650","27,222","58,477","66,158"
"Brockton city, Massachusetts","38,391","37,692","37,554","36,489",837,"1,203","22,265","21,177","15,289","15,312","38,391","37,692","38,391","37,692","20,541","18,634","2,372","1,913",551,425,"2,591","3,462"
"Cambridge city, Massachusetts","57,581","57,127","52,487","51,275","5,094","5,852","15,825","15,557","36,662","35,718","57,581","57,127","57,581","57,127","4,973","4,391","3,068","4,438","5,525","5,888","17,856","16,984"
"Fall River city, Massachusetts","43,230","44,843","40,521","41,466","2,709","3,377","14,424","13,104","26,097","28,362","43,230","44,843","43,230","44,843","9,494","9,526","1,789","2,237","1,837","1,967","2,709","3,045"
"Framingham city, Massachusetts","27,159","29,370","26,320","27,786",839,"1,584","14,452","13,560","11,868","14,226","27,159","29,370","27,159","29,370","13,428","13,740","2,597","1,629","2,126","1,859","3,375","5,117"
"Haverhill city, Massachusetts","26,413","29,200","25,293","27,322","1,120","1,878","15,244","17,658","10,049","9,664","26,413","29,200","26,413","29,200","11,760","11,245",759,"1,117",896,"1,573","1,750","1,925"
"Lawrence city, Massachusetts","31,378","33,714","30,366","32,849","1,012",865,"8,775","8,202","21,591","24,647","31,378","33,714","31,378","33,714","5,889","5,047","1,577","2,685","2,181","1,494","3,764","3,141"
"Lowell city, Massachusetts","44,466","44,643","42,577","43,121","1,889","1,522","19,774","19,835","22,803","23,286","44,466","44,643","44,466","44,643","13,412","15,724","4,352","3,687","3,896","3,452","4,538","4,613"
"Lynn city, Massachusetts","39,222","36,792","37,304","35,100","1,918","1,692","19,807","15,282","17,497","19,818","39,222","36,792","39,222","36,792","14,137","10,668","2,049","1,763","3,522","1,632","4,253","4,799"
"Malden city, Massachusetts","28,151","26,417","26,386","24,339","1,765","2,078","11,467","10,091","14,919","14,248","28,151","26,417","28,151","26,417","6,928","4,963","1,464","1,011","2,149","3,187","5,224","5,193"
"New Bedford city, Massachusetts","44,717","42,508","42,743","40,588","1,974","1,920","16,974","18,172","25,769","22,416","44,717","42,508","44,717","42,508","13,310","13,198","1,636","1,518",797,595,"2,445","3,467"
"Newton city, Massachusetts","31,501","36,671","29,961","34,929","1,540","1,742","21,966","23,322","7,995","11,607","31,501","36,671","31,501","36,671","18,817","19,683",428,"1,194",880,"1,230","2,366","3,410"
"Quincy city, Massachusetts","46,911","46,182","44,051","44,035","2,860","2,147","19,903","21,266","24,148","22,769","46,911","46,182","46,911","46,182","14,779","14,860","2,640","1,992","2,994","4,518","11,031","10,341"
"Somerville city, Massachusetts","37,251","36,498","35,015","35,099","2,236","1,399","13,487","11,609","21,528","23,490","37,251","36,498","37,251","36,498","4,509","3,072","1,366","2,127","2,198","1,674","3,740","3,631"
"Springfield city, Massachusetts","62,032","59,582","57,806","55,547","4,226","4,035","28,013","29,848","29,793","25,699","62,032","59,582","62,032","59,582","27,885","29,218",766,"1,462","2,511","1,856","5,190","4,610"
"Worcester city, Massachusetts","82,375","89,723","76,065","83,116","6,310","6,607","32,714","36,199","43,351","46,917","82,375","89,723","82,375","89,723","26,412","27,314","4,479","5,175","3,637","4,323","8,244","11,212"
"Ann Arbor city, Michigan","54,874","54,387","51,238","49,611","3,636","4,776","23,474","22,625","27,764","26,986","54,874","54,387","54,874","54,387","22,101","21,709","4,383","5,579","3,257","2,558","5,168","5,696"
"Dearborn city, Michigan","38,133","37,390","35,209","35,733","2,924","1,657","24,777","25,616","10,432","10,117","38,133","37,390","38,133","37,390","29,701","27,800",883,884,500,828,"1,984","2,334"
"Detroit city, Michigan","322,906","343,649","251,729","268,048","71,177","75,601","129,084","136,621","122,645","131,427","322,906","343,649","322,906","343,649","212,961","219,621","8,825","15,144","12,594","15,230","30,484","31,032"
"Farmington Hills city, Michigan","36,496","36,896","35,224","33,274","1,272","3,622","22,429","21,397","12,795","11,877","36,496","36,896","36,496","36,896","20,576","20,045","4,262","4,328","1,654","1,300","1,889","1,305"
"Flint city, Michigan","41,139","44,226","32,837","35,672","8,302","8,554","18,337","19,356","14,500","16,316","41,139","44,226","41,139","44,226","32,804","36,482",711,730,654,875,"1,263","1,660"
"Grand Rapids city, Michigan","85,623","84,949","79,486","80,313","6,137","4,636","44,840","42,947","34,646","37,366","85,623","84,949","85,623","84,949","49,739","47,344","4,076","2,849","2,934","2,967","9,152","8,090"
"Kalamazoo city, Michigan","33,160","32,160","29,853","29,344","3,307","2,816","13,196","12,685","16,657","16,659","33,160","32,160","33,160","32,160","14,821","14,921","3,681","2,921","3,698","2,728","1,826","1,795"
"Lansing city, Michigan","55,557","54,614","50,590","50,209","4,967","4,405","28,084","26,574","22,506","23,635","55,557","54,614","55,557","54,614","35,533","32,853","4,819","3,679","1,420","2,084","3,613","4,782"
"Livonia city, Michigan","39,344","39,717","38,329","37,809","1,015","1,908","33,409","32,404","4,920","5,405","39,344","39,717","39,344","39,717","34,183","34,202",701,548,345,238,718,"1,083"
"Novi city, Michigan","30,844","28,809","28,217","27,593","2,627","1,216","18,798","17,568","9,419","10,025","30,844","28,809","30,844","28,809","15,175","13,158","1,188","1,261","1,650",990,"2,509","2,499"
"Rochester Hills city, Michigan","30,934","30,961","28,831","29,127","2,103","1,834","21,367","22,123","7,464","7,004","30,934","30,961","30,934","30,961","19,955","19,859","1,324",919,134,448,722,"1,223"
"Southfield city, Michigan","37,514","39,273","35,649","34,277","1,865","4,996","19,567","17,534","16,082","16,743","37,514","39,273","37,514","39,273","19,171","17,999","1,974","3,020","2,051","2,088","5,862","6,478"
"Sterling Heights city, Michigan","53,932","52,198","51,805","50,849","2,127","1,349","39,904","38,096","11,901","12,753","53,932","52,198","53,932","52,198","35,451","35,955","2,179","1,213",167,144,"2,042","2,773"
"Troy city, Michigan","34,953","34,644","33,822","32,778","1,131","1,866","25,017","23,659","8,805","9,119","34,953","34,644","34,953","34,644","24,022","24,331",792,"1,552",821,511,"1,207","1,614"
"Warren city, Michigan","60,142","56,962","57,632","54,602","2,510","2,360","40,699","38,493","16,933","16,109","60,142","56,962","60,142","56,962","45,946","41,987","1,238",953,784,799,958,"1,764"
"Westland city, Michigan","39,435","39,198","37,870","36,377","1,565","2,821","23,179","21,824","14,691","14,553","39,435","39,198","39,435","39,198","23,079","22,699","4,371","2,910","1,496","1,774","1,896","2,695"
"Wyoming city, Michigan","29,880","32,974","28,253","32,830","1,627",144,"17,907","21,410","10,346","11,420","29,880","32,974","29,880","32,974","18,442","21,962","1,597","3,255","2,080","2,500","1,578",443
"Blaine city, Minnesota","26,622","31,002","25,869","29,846",753,"1,156","21,808","25,368","4,061","4,478","26,622","31,002","26,622","31,002","17,744","19,986",328,89,367,607,"1,351","2,109"
"Bloomington city, Minnesota","41,127","40,313","38,725","38,886","2,402","1,427","25,588","24,842","13,137","14,044","41,127","40,313","41,127","40,313","21,914","20,375","2,376","1,119","4,212","4,174","6,593","8,537"
"Brooklyn Park city, Minnesota","30,705","30,682","30,074","29,658",631,"1,024","22,771","21,290","7,303","8,368","30,705","30,682","30,705","30,682","18,610","18,498",933,"1,175","1,364","1,859","4,489","3,564"
"Duluth city, Minnesota","39,763","41,325","36,310","39,376","3,453","1,949","21,949","22,584","14,361","16,792","39,763","41,325","39,763","41,325","23,983","24,176","1,168","1,113","2,472","3,362","3,009","3,652"
"Eagan city, Minnesota","27,660","28,814","27,069","28,046",591,768,"20,075","18,609","6,994","9,437","27,660","28,814","27,660","28,814","15,305","14,311",920,634,"1,103","2,530","3,344","5,116"
"Lakeville city, Minnesota","25,337","27,216","23,868","26,568","1,469",648,"21,609","22,545","2,259","4,023","25,337","27,216",,"27,216",,"19,670",,71,,248,,"1,497"
"Maple Grove city, Minnesota","28,282","28,566","28,026","28,147",256,419,"23,783","22,856","4,243","5,291","28,282","28,566",,"28,566",,"18,363",,310,,240,,"2,536"
"Minneapolis city, Minnesota","203,633","216,155","188,681","194,480","14,952","21,675","93,981","90,363","94,700","104,117","203,633","216,155","203,633","216,155","85,170","85,943","12,636","15,014","19,951","21,668","47,350","57,955"
"Plymouth city, Minnesota","34,281","33,300","32,923","31,804","1,358","1,496","23,814","22,298","9,109","9,506","34,281","33,300","34,281","33,300","19,400","18,199",418,660,"1,299","1,570","5,386","6,658"
"Rochester city, Minnesota","54,111","56,179","49,984","51,882","4,127","4,297","32,949","33,955","17,035","17,927","54,111","56,179","54,111","56,179","30,670","33,145","1,872",981,"3,454","3,586","6,391","7,763"
"St. Cloud city, Minnesota","31,034","29,831","30,029","28,012","1,005","1,819","14,728","14,774","15,301","13,238","31,034","29,831","31,034","29,831","14,913","15,691","3,814","2,365","2,865","3,484","4,565","3,302"
"St. Paul city, Minnesota","131,275","135,910","121,964","128,572","9,311","7,338","67,642","63,986","54,322","64,586","131,275","135,910","131,275","135,910","65,601","61,674","7,918","11,328","9,904","11,655","22,542","25,267"
"Woodbury city, Minnesota","30,287","32,796","28,751","31,236","1,536","1,560","21,783","23,592","6,968","7,644","30,287","32,796","30,287","32,796","17,796","18,085",452,394,453,376,"1,969","2,730"
"Gulfport city, Mississippi","33,401","37,448","29,385","31,985","4,016","5,463","14,362","18,157","15,023","13,828","33,401","37,448","33,401","37,448","20,792","23,662","1,915","1,802","1,520","1,076","1,898",537
"Jackson city, Mississippi","74,637","74,917","62,140","60,638","12,497","14,279","28,891","30,372","33,249","30,266","74,637","74,917","74,637","74,917","50,980","50,210","3,581","3,494","2,575","1,555","2,965","4,294"
"Columbia city, Missouri","55,042","56,162","50,572","53,283","4,470","2,879","25,189","26,135","25,383","27,148","55,042","56,162","55,042","56,162","27,747","31,552","4,527","4,580","1,892","2,481","2,416","4,944"
"Independence city, Missouri","57,486","57,699","53,057","51,917","4,429","5,782","33,922","30,811","19,135","21,106","57,486","57,699","57,486","57,699","41,668","39,558","2,776","2,419",937,"1,215","1,999","2,397"
"Kansas City city, Missouri","243,950","246,544","219,020","222,248","24,930","24,296","118,384","127,964","100,636","94,284","243,950","246,544","243,950","246,544","148,138","152,524","15,242","13,181","14,220","12,120","22,693","24,793"
"Lee's Summit city, Missouri","39,391","43,187","37,795","42,032","1,596","1,155","28,529","31,244","9,266","10,788","39,391","43,187","39,391","43,187","29,367","30,642","1,819","1,997","1,223","1,345","1,236","2,041"
"O'Fallon city, Missouri","35,283","36,134","34,412","34,707",871,"1,427","27,577","29,805","6,835","4,902","35,283","36,134","35,283","36,134","26,132","28,363","1,417",723,327,825,608,613
"St. Charles city, Missouri","32,822","33,094","29,992","30,947","2,830","2,147","20,081","19,906","9,911","11,041","32,822","33,094","32,822","33,094","19,424","18,957","2,130","2,648",825,"1,037","1,306","1,599"
"St. Joseph city, Missouri","33,734","33,505","29,750","28,392","3,984","5,113","17,413","17,403","12,337","10,989","33,734","33,505","33,734","33,505","23,844","23,546","1,399","1,606",624,806,"1,359","1,285"
"St. Louis city, Missouri","173,493","174,694","139,736","148,637","33,757","26,057","63,653","68,310","76,083","80,327","173,493","174,694","173,493","174,694","74,991","76,390","3,883","6,673","6,610","7,555","23,485","25,427"
"Springfield city, Missouri","83,888","85,301","79,232","76,851","4,656","8,450","35,203","34,256","44,029","42,595","83,888","85,301","83,888","85,301","47,635","49,174","6,480","6,433","8,381","7,343","6,583","8,309"
"Billings city, Montana","53,981","55,694","50,365","52,424","3,616","3,270","33,559","32,680","16,806","19,744","53,981","55,694","53,981","55,694","34,178","32,546","2,016","3,160",988,"1,713","1,901","2,846"
"Missoula city, Montana","35,602","40,204","33,744","37,870","1,858","2,334","15,207","17,189","18,537","20,681","35,602","40,204","35,602","40,204","18,461","18,546","2,942","2,302","2,239","3,829","1,449","1,573"
"Lincoln city, Nebraska","126,262","133,537","120,407","127,640","5,855","5,897","70,003","73,544","50,404","54,096","126,262","133,537","126,262","133,537","73,562","75,486","9,298","10,824","9,571","10,294","8,056","11,420"
"Omaha city, Nebraska","212,802","214,685","201,469","202,635","11,333","12,050","117,404","115,172","84,065","87,463","212,802","214,685","212,802","214,685","134,400","131,517","17,636","18,262","11,377","14,252","17,246","22,713"
"Enterprise CDP, Nevada","88,599","96,620","83,983","90,603","4,616","6,017","53,020","57,633","30,963","32,970","88,599","96,620","88,599","96,620","66,129","70,676","2,124","1,316",944,"2,428","7,076","9,277"
"Henderson city, Nevada","132,088","149,552","124,470","141,762","7,618","7,790","80,562","95,479","43,908","46,283","132,088","149,552","132,088","149,552","90,317","100,272","6,758","7,346","2,521","2,282","6,593","7,433"
"Las Vegas city, Nevada","269,602","276,629","250,350","253,523","19,252","23,106","138,677","143,581","111,673","109,942","269,602","276,629","269,602","276,629","165,785","171,297","12,850","14,584","7,529","9,945","18,222","20,096"
"North Las Vegas city, Nevada","91,034","99,283","85,966","94,459","5,068","4,824","51,443","60,608","34,523","33,851","91,034","99,283","91,034","99,283","69,127","75,311","2,740","2,131","2,097","1,378","3,262","3,523"
"Paradise CDP, Nevada","95,898","90,891","78,005","74,766","17,893","16,125","33,900","31,841","44,105","42,925","95,898","90,891","95,898","90,891","33,850","31,325","9,848","6,058","6,880","7,121","20,740","19,950"
"Reno city, Nevada","116,918","131,752","110,993","120,293","5,925","11,459","54,158","59,419","56,835","60,874","116,918","131,752","116,918","131,752","60,244","65,055","10,755","8,530","6,678","6,421","9,484","18,517"
"Sparks city, Nevada","47,203","46,468","43,392","43,837","3,811","2,631","27,168","27,224","16,224","16,613","47,203","46,468","47,203","46,468","32,409","30,200","2,768","2,128","1,133",996,"1,933","3,838"
"Spring Valley CDP, Nevada","94,405","97,499","88,063","90,603","6,342","6,896","40,227","42,873","47,836","47,730","94,405","97,499","94,405","97,499","46,808","48,255","5,485","5,120","3,434","2,039","12,407","15,710"
