City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Tucson city, Arizona","242,816","251,448","223,068","233,314","19,748","18,134","114,708","122,246","108,360","111,068","242,816","251,448","242,816","251,448","129,856","132,203","13,611","19,370","14,170","14,049","20,826","21,696"
"Yuma city, Arizona","43,608","44,723","36,530","39,909","7,078","4,814","21,480","27,905","15,050","12,004","43,608","44,723","43,608","44,723","24,590","27,416",867,739,248,241,"1,623","1,773"
"Conway city, Arkansas","27,470","31,036","25,251","28,010","2,219","3,026","11,190","12,963","14,061","15,047","27,470","31,036","27,470","31,036","16,206","16,887","3,805","5,416",678,760,"1,414","1,324"
"Fayetteville city, Arkansas","44,706","47,942","40,104","42,089","4,602","5,853","18,780","16,195","21,324","25,894","44,706","47,942","44,706","47,942","22,717","22,540","7,240","9,143","2,416","1,632","2,719","5,354"
"Fort Smith city, Arkansas","39,962","41,482","36,390","37,693","3,572","3,789","20,687","20,557","15,703","17,136","39,962","41,482","39,962","41,482","25,975","29,549","2,243","1,825","1,586",533,"1,476",960
"Jonesboro city, Arkansas","34,452","36,969","30,432","33,732","4,020","3,237","17,625","18,936","12,807","14,796","34,452","36,969","34,452","36,969","24,831","25,848","1,854","1,140",914,777,805,"1,032"
"Little Rock city, Arkansas","99,876","99,014","89,422","88,738","10,454","10,276","49,236","47,340","40,186","41,398","99,876","99,014","99,876","99,014","61,302","60,546","4,940","7,938","3,772","4,064","11,175","6,543"
"Rogers city, Arkansas","29,356","31,314","25,872","28,461","3,484","2,853","15,036","15,911","10,836","12,550","29,356","31,314","29,356","31,314","18,516","19,832","2,305","2,350",723,372,379,"1,878"
"Springdale city, Arkansas","30,493","32,643","28,942","30,436","1,551","2,207","16,181","16,234","12,761","14,202","30,493","32,643","30,493","32,643","21,511","21,205","2,055","3,470",212,341,416,290
"Alameda city, California","32,416","32,320","30,281","30,860","2,135","1,460","13,680","16,825","16,601","14,035","32,416","32,320","32,416","32,320","14,157","14,118","1,295",924,"2,711","3,916","3,750","3,213"
"Alhambra city, California","31,005","35,131","29,022","31,892","1,983","3,239","11,196","13,183","17,826","18,709","31,005","35,131","31,005","35,131","11,645","14,828","2,596","1,815","1,937","2,397","1,031","2,997"
"Anaheim city, California","110,319","113,613","105,608","108,465","4,711","5,148","51,684","50,442","53,924","58,023","110,319","113,613","110,319","113,613","47,158","46,136","6,057","4,805","7,526","6,052","19,006","20,369"
"Antioch city, California","37,650","39,879","37,081","37,795",569,"2,084","23,652","24,245","13,429","13,550","37,650","39,879","37,650","39,879","28,904","30,535",415,574,672,806,"2,193","1,932"
"Apple Valley town, California","25,390","27,627","24,657","26,481",733,"1,146","16,147","19,482","8,510","6,999","25,390","27,627","25,390","27,627","19,566","21,811",468,0,0,602,454,0
"Arden-Arcade CDP, California","42,032","42,031","40,688","38,758","1,344","3,273","18,374","17,849","22,314","20,909","42,032","42,031","42,032","42,031","18,823","21,016","2,474","3,552","3,245","2,231","6,519","6,359"
"Bakersfield city, California","134,270","139,391","128,007","133,186","6,263","6,205","78,398","81,790","49,609","51,396","134,270","139,391","134,270","139,391","96,006","102,427","2,668","3,326","2,984","1,585","6,848","6,367"
"Baldwin Park city, California","19,605","20,310","19,112","19,768",493,542,"12,751","11,000","6,361","8,768","19,605","20,310","19,605","20,310","14,554","13,191",726,"1,728",612,651,649,566
"Bellflower city, California","24,831","26,173","24,327","24,534",504,"1,639","8,958","9,668","15,369","14,866","24,831","26,173","24,831","26,173","11,506","11,902","1,716","1,732","3,664","2,097","1,633","3,170"
"Berkeley city, California","50,228","54,202","43,893","47,862","6,335","6,340","20,207","21,974","23,686","25,888","50,228","54,202","50,228","54,202","21,048","23,414","5,543","4,246","4,218","5,475","4,951","4,447"
"Buena Park city, California","24,966","25,789","24,306","25,789",660,0,"14,260","14,621","10,046","11,168","24,966","25,789","24,966","25,789","14,423","15,504","1,543",825,"1,365","1,412","1,107","1,858"
"Burbank city, California","48,556","46,928","44,471","43,890","4,085","3,038","19,869","19,003","24,602","24,887","48,556","46,928","48,556","46,928","20,023","20,441","5,018","6,272","4,513","4,804","5,819","4,534"
"Camarillo city, California","28,678","27,476","27,588","26,025","1,090","1,451","18,218","17,369","9,370","8,656","28,678","27,476","28,678","27,476","16,156","14,481","1,080","1,079","1,709",445,"1,870","1,398"
"Carlsbad city, California","51,596","47,475","48,098","44,251","3,498","3,224","29,623","28,105","18,475","16,146","51,596","47,475","51,596","47,475","25,685","24,841","4,729","2,564","1,606","2,508","1,756","3,630"
"Carmichael CDP, California","33,816","33,342","32,172","31,485","1,644","1,857","16,613","17,812","15,559","13,673","33,816","33,342","33,816","33,342","18,185","19,506",931,808,"2,805","1,097","3,065","3,800"
"Carson city, California","26,409","29,300","25,743","28,426",666,874,"18,898","20,255","6,845","8,171","26,409","29,300","26,409","29,300","19,574","20,763",289,465,425,"1,025","1,332","1,363"
"Castro Valley CDP, California","24,109","21,718","23,103","20,631","1,006","1,087","16,968","15,329","6,135","5,302","24,109","21,718","24,109","21,718","16,908","16,683","1,115",886,"1,058",753,979,597
"Chico city, California","42,758","49,392","40,956","45,083","1,802","4,309","18,155","18,870","22,801","26,213","42,758","49,392","42,758","49,392","21,799","22,528","2,213","2,300","1,162","2,397","3,259","3,364"
"Chino city, California","27,283","27,300","26,774","26,929",509,371,"17,433","19,318","9,341","7,611","27,283","27,300","27,283","27,300","18,896","19,443",673,439,225,520,"2,267","1,239"
"Chino Hills city, California","26,151","24,121","25,703","23,966",448,155,"19,216","15,619","6,487","8,347","26,151","24,121","26,151","24,121","19,862","17,065","1,529",797,116,481,"1,386",734
"Chula Vista city, California","88,821","91,470","83,451","88,103","5,370","3,367","48,589","50,465","34,862","37,638","88,821","91,470","88,821","91,470","47,291","46,555","5,060","3,986","4,430","3,666","7,402","10,777"
"Citrus Heights city, California","35,496","35,082","34,140","34,476","1,356",606,"19,866","21,571","14,274","12,905","35,496","35,082","35,496","35,082","19,876","20,637","2,004","1,191",839,349,"1,866","2,570"
