"Region","Doctorate degree","MoE"
"Odessa, TX Metro Area","446","± 189"
"Ogden, UT Metro Area","4,156","± 499"
"Oklahoma City, OK Metro Area","14,092","± 1,146"
"Olympia-Lacey-Tumwater, WA Metro Area","2,892","± 528"
"Omaha, NE-IA Metro Area","9,591","± 734"
"Orlando-Kissimmee-Sanford, FL Metro Area","23,870","± 1,533"
"Oshkosh-Neenah, WI Metro Area","1,261","± 255"
"Owensboro, KY Metro Area","705","± 231"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","10,236","± 743"
"Paducah, KY-IL Metro Area","508","± 163"
"Palm Bay-Melbourne-Titusville, FL Metro Area","6,365","± 598"
"Panama City-Panama City Beach, FL Metro Area","1,362","± 264"
"Parkersburg-Vienna, WV Metro Area","569","± 156"
"Pensacola-Ferry Pass-Brent, FL Metro Area","4,738","± 627"
"Peoria, IL Metro Area","3,100","± 408"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","94,114","± 2,505"
"Phoenix-Mesa-Chandler, AZ Metro Area","47,551","± 1,787"
"Pinehurst-Southern Pines, NC Metro Area","1,277","± 308"
"Pittsburgh, PA Metro Area","33,665","± 1,296"
"Pittsfield, MA Metro Area","2,202","± 363"
"Pocatello, ID Metro Area","1,389","± 270"
"Ponce, PR Metro Area","2,706","± 444"
"Portland-South Portland, ME Metro Area","8,117","± 739"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","38,516","± 1,589"
"Port St. Lucie, FL Metro Area","4,457","± 746"
"Prescott Valley-Prescott, AZ Metro Area","2,717","± 455"
"Providence-Warwick, RI-MA Metro Area","20,045","± 1,317"
"Provo-Orem-Lehi, UT Metro Area","5,727","± 515"
"Pueblo, CO Metro Area","802","± 199"
"Punta Gorda, FL Metro Area","1,586","± 286"
"Racine-Mount Pleasant, WI Metro Area","890","± 214"
"Raleigh-Cary, NC Metro Area","23,313","± 1,647"
"Rapid City, SD Metro Area","1,515","± 327"
"Reading, PA Metro Area","3,056","± 532"
"Redding, CA Metro Area","866","± 214"
"Reno, NV Metro Area","6,206","± 657"
"Richmond, VA Metro Area","15,796","± 1,039"
"Riverside-San Bernardino-Ontario, CA Metro Area","29,245","± 1,422"
"Roanoke, VA Metro Area","3,303","± 437"
"Rochester, MN Metro Area","4,131","± 494"
"Rochester, NY Metro Area","14,256","± 808"
"Rockford, IL Metro Area","1,652","± 288"
"Rocky Mount, NC Metro Area","433","± 167"
"Rome, GA Metro Area","786","± 184"
"Sacramento-Roseville-Folsom, CA Metro Area","26,473","± 1,303"
"Saginaw, MI Metro Area","887","± 198"
"St. Cloud, MN Metro Area","1,575","± 265"
"St. George, UT Metro Area","2,357","± 581"
"St. Joseph, MO-KS Metro Area","835","± 193"
"St. Louis, MO-IL Metro Area","33,277","± 1,470"
"Salem, OR Metro Area","3,046","± 513"
"Salinas, CA Metro Area","4,646","± 486"
"Salisbury, MD Metro Area","1,067","± 247"
"Salt Lake City-Murray, UT Metro Area","13,918","± 999"
"San Angelo, TX Metro Area","678","± 230"
"San Antonio-New Braunfels, TX Metro Area","22,018","± 1,410"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","57,934","± 1,982"
"Sandusky, OH Metro Area","868","± 232"
"San Francisco-Oakland-Fremont, CA Metro Area","115,478","± 2,598"
