"Region","Educational services, and health care and social assistance:"
"Warner Robins, GA Metro Area","14,058"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","473,506"
"Waterbury-Shelton, CT Metro Area","48,423"
"Waterloo-Cedar Falls, IA Metro Area","16,881"
"Watertown-Fort Drum, NY Metro Area","9,280"
"Wausau, WI Metro Area","13,729"
"Weirton-Steubenville, WV-OH Metro Area","9,376"
"Wenatchee-East Wenatchee, WA Metro Area","9,353"
"Wheeling, WV-OH Metro Area","11,441"
"Wichita, KS Metro Area","56,777"
"Wichita Falls, TX Metro Area","12,754"
"Wildwood-The Villages, FL Metro Area","4,125"
"Williamsport, PA Metro Area","11,283"
"Wilmington, NC Metro Area","35,163"
"Winchester, VA-WV Metro Area","12,322"
"Winston-Salem, NC Metro Area","58,468"
"Worcester, MA Metro Area","91,337"
"Yakima, WA Metro Area","18,782"
"York-Hanover, PA Metro Area","39,516"
"Youngstown-Warren, OH Metro Area","36,650"
"Yuba City, CA Metro Area","12,547"
"Yuma, AZ Metro Area","11,566"
