"Region","Professional school degree","MoE"
"Naples-Marco Island, FL Metro Area","11,011","± 951"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","33,194","± 1,603"
"New Haven, CT Metro Area","14,613","± 881"
"New Orleans-Metairie, LA Metro Area","21,362","± 1,143"
"New York-Newark-Jersey City, NY-NJ Metro Area","480,223","± 6,464"
"Niles, MI Metro Area","1,982","± 226"
"North Port-Bradenton-Sarasota, FL Metro Area","18,735","± 1,287"
"Norwich-New London-Willimantic, CT Metro Area","4,034","± 529"
"Ocala, FL Metro Area","4,345","± 626"
"Odessa, TX Metro Area","657","± 269"
"Ogden, UT Metro Area","5,628","± 550"
"Oklahoma City, OK Metro Area","21,193","± 1,193"
"Olympia-Lacey-Tumwater, WA Metro Area","4,955","± 613"
"Omaha, NE-IA Metro Area","16,364","± 1,057"
"Orlando-Kissimmee-Sanford, FL Metro Area","39,557","± 2,266"
"Oshkosh-Neenah, WI Metro Area","1,575","± 259"
"Owensboro, KY Metro Area","1,200","± 237"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","14,551","± 892"
"Paducah, KY-IL Metro Area","1,407","± 337"
"Palm Bay-Melbourne-Titusville, FL Metro Area","7,891","± 879"
"Panama City-Panama City Beach, FL Metro Area","2,132","± 360"
"Parkersburg-Vienna, WV Metro Area","689","± 160"
"Pensacola-Ferry Pass-Brent, FL Metro Area","5,369","± 580"
"Peoria, IL Metro Area","3,816","± 402"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","128,594","± 2,660"
"Phoenix-Mesa-Chandler, AZ Metro Area","70,511","± 2,514"
"Pinehurst-Southern Pines, NC Metro Area","1,946","± 320"
"Pittsburgh, PA Metro Area","40,770","± 1,528"
"Pittsfield, MA Metro Area","2,541","± 394"
"Pocatello, ID Metro Area","836","± 170"
"Ponce, PR Metro Area","1,869","± 255"
"Portland-South Portland, ME Metro Area","13,550","± 954"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","50,098","± 1,741"
"Port St. Lucie, FL Metro Area","7,151","± 816"
"Prescott Valley-Prescott, AZ Metro Area","3,775","± 463"
"Providence-Warwick, RI-MA Metro Area","24,733","± 1,371"
"Provo-Orem-Lehi, UT Metro Area","6,159","± 563"
"Pueblo, CO Metro Area","1,481","± 249"
"Punta Gorda, FL Metro Area","2,990","± 493"
"Racine-Mount Pleasant, WI Metro Area","1,549","± 303"
"Raleigh-Cary, NC Metro Area","25,863","± 1,383"
"Rapid City, SD Metro Area","2,384","± 426"
"Reading, PA Metro Area","4,079","± 591"
"Redding, CA Metro Area","2,089","± 314"
"Reno, NV Metro Area","8,532","± 681"
"Richmond, VA Metro Area","22,773","± 1,187"
"Riverside-San Bernardino-Ontario, CA Metro Area","42,689","± 1,797"
"Roanoke, VA Metro Area","4,972","± 538"
"Rochester, MN Metro Area","6,334","± 549"
"Rochester, NY Metro Area","18,089","± 1,119"
"Rockford, IL Metro Area","3,618","± 469"
"Rocky Mount, NC Metro Area","908","± 230"
"Rome, GA Metro Area","1,707","± 306"
"Sacramento-Roseville-Folsom, CA Metro Area","49,159","± 1,903"
"Saginaw, MI Metro Area","1,793","± 283"
"St. Cloud, MN Metro Area","1,873","± 340"
"St. George, UT Metro Area","2,612","± 389"
"St. Joseph, MO-KS Metro Area","935","± 185"
"St. Louis, MO-IL Metro Area","45,120","± 1,542"
"Salem, OR Metro Area","4,551","± 579"
"Salinas, CA Metro Area","6,290","± 565"
"Salisbury, MD Metro Area","1,451","± 326"
"Salt Lake City-Murray, UT Metro Area","18,487","± 862"
"San Angelo, TX Metro Area","748","± 225"
"San Antonio-New Braunfels, TX Metro Area","33,006","± 1,963"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","66,576","± 2,442"
"Sandusky, OH Metro Area","1,069","± 219"
"San Francisco-Oakland-Fremont, CA Metro Area","133,153","± 3,216"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","39,443","± 1,674"
"San Juan-Bayamón-Caguas, PR Metro Area","24,812","± 1,312"
"San Luis Obispo-Paso Robles, CA Metro Area","6,207","± 561"
"Santa Cruz-Watsonville, CA Metro Area","5,809","± 578"
"Santa Fe, NM Metro Area","5,181","± 610"
"Santa Maria-Santa Barbara, CA Metro Area","7,773","± 642"
"Santa Rosa-Petaluma, CA Metro Area","12,131","± 877"
"Savannah, GA Metro Area","6,310","± 707"
"Scranton--Wilkes-Barre, PA Metro Area","6,584","± 502"
"Seattle-Tacoma-Bellevue, WA Metro Area","78,963","± 2,481"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","2,986","± 497"
"Sebring, FL Metro Area","1,542","± 450"
"Sheboygan, WI Metro Area","951","± 179"
"Sherman-Denison, TX Metro Area","898","± 260"
"Shreveport-Bossier City, LA Metro Area","4,919","± 564"
"Sierra Vista-Douglas, AZ Metro Area","1,176","± 324"
"Sioux City, IA-NE-SD Metro Area","1,266","± 245"
"Sioux Falls, SD-MN Metro Area","3,935","± 440"
"Slidell-Mandeville-Covington, LA Metro Area","4,836","± 594"
"South Bend-Mishawaka, IN-MI Metro Area","3,988","± 533"
"Spartanburg, SC Metro Area","2,820","± 366"
"Spokane-Spokane Valley, WA Metro Area","8,421","± 811"
"Springfield, IL Metro Area","3,768","± 465"
"Springfield, MA Metro Area","5,438","± 658"
"Springfield, MO Metro Area","6,219","± 663"
"Springfield, OH Metro Area","614","± 149"
"State College, PA Metro Area","2,015","± 361"
"Staunton-Stuarts Draft, VA Metro Area","1,375","± 311"
"Stockton-Lodi, CA Metro Area","6,939","± 708"
"Sumter, SC Metro Area","353","± 117"
"Syracuse, NY Metro Area","10,280","± 678"
"Tallahassee, FL Metro Area","7,430","± 612"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","52,726","± 1,936"
"Terre Haute, IN Metro Area","989","± 241"
"Texarkana, TX-AR Metro Area","1,145","± 217"
"Toledo, OH Metro Area","7,128","± 732"
"Topeka, KS Metro Area","2,653","± 417"
"Traverse City, MI Metro Area","3,096","± 342"
"Trenton-Princeton, NJ Metro Area","6,634","± 665"
"Tucson, AZ Metro Area","16,976","± 969"
"Tulsa, OK Metro Area","13,335","± 917"
"Tuscaloosa, AL Metro Area","2,405","± 345"
"Twin Falls, ID Metro Area","856","± 266"
"Tyler, TX Metro Area","2,517","± 418"
"Urban Honolulu, HI Metro Area","19,861","± 999"
"Utica-Rome, NY Metro Area","2,898","± 364"
"Valdosta, GA Metro Area","1,261","± 293"
"Vallejo, CA Metro Area","5,340","± 529"
"Victoria, TX Metro Area","751","± 207"
"Vineland, NJ Metro Area","1,060","± 250"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","23,549","± 1,181"
"Visalia, CA Metro Area","3,255","± 492"
"Waco, TX Metro Area","3,242","± 473"
"Walla Walla, WA Metro Area","1,103","± 274"
"Warner Robins, GA Metro Area","2,689","± 529"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","201,341","± 3,558"
"Waterbury-Shelton, CT Metro Area","7,242","± 813"
"Waterloo-Cedar Falls, IA Metro Area","1,903","± 456"
"Watertown-Fort Drum, NY Metro Area","1,009","± 210"
