"Region","Public transportation (excluding taxicab):","MoE"
"Vallejo, CA Metro Area","3,842","± 506"
"Victoria, TX Metro Area","248","± 161"
"Vineland, NJ Metro Area","657","± 258"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","10,134","± 1,188"
"Visalia, CA Metro Area","611","± 248"
"Waco, TX Metro Area","425","± 237"
"Walla Walla, WA Metro Area","216","± 101"
"Warner Robins, GA Metro Area","245","± 143"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","262,027","± 4,836"
"Waterbury-Shelton, CT Metro Area","3,252","± 636"
"Waterloo-Cedar Falls, IA Metro Area","158","± 74"
"Watertown-Fort Drum, NY Metro Area","253","± 127"
"Wausau, WI Metro Area","209","± 93"
"Weirton-Steubenville, WV-OH Metro Area","205","± 89"
"Wenatchee-East Wenatchee, WA Metro Area","767","± 269"
"Wheeling, WV-OH Metro Area","356","± 118"
"Wichita, KS Metro Area","1,564","± 411"
"Wichita Falls, TX Metro Area","151","± 101"
"Wildwood-The Villages, FL Metro Area","57","± 59"
"Williamsport, PA Metro Area","648","± 252"
"Wilmington, NC Metro Area","876","± 367"
"Winchester, VA-WV Metro Area","177","± 95"
"Winston-Salem, NC Metro Area","1,629","± 423"
"Worcester, MA Metro Area","6,524","± 833"
"Yakima, WA Metro Area","323","± 160"
"York-Hanover, PA Metro Area","1,737","± 389"
"Youngstown-Warren, OH Metro Area","1,612","± 368"
"Yuba City, CA Metro Area","533","± 203"
"Yuma, AZ Metro Area","560","± 315"
