"Region","Professional, scientific, and technical services"
"Springfield, MA Metro Area","5,572"
"Springfield, MO Metro Area","6,011"
"Springfield, OH Metro Area","1,064"
"State College, PA Metro Area","1,466"
"Staunton-Stuarts Draft, VA Metro Area","1,906"
"Stockton-Lodi, CA Metro Area","8,422"
"Sumter, SC Metro Area","810"
"Syracuse, NY Metro Area","9,922"
"Tallahassee, FL Metro Area","7,394"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","66,057"
"Terre Haute, IN Metro Area","939"
"Texarkana, TX-AR Metro Area","1,148"
"Toledo, OH Metro Area","6,631"
"Topeka, KS Metro Area","2,275"
"Traverse City, MI Metro Area","2,484"
"Trenton-Princeton, NJ Metro Area","8,178"
"Tucson, AZ Metro Area","14,233"
"Tulsa, OK Metro Area","13,788"
"Tuscaloosa, AL Metro Area","2,385"
"Twin Falls, ID Metro Area","974"
"Tyler, TX Metro Area","2,644"
"Urban Honolulu, HI Metro Area","13,630"
"Utica-Rome, NY Metro Area","3,322"
"Valdosta, GA Metro Area","1,640"
"Vallejo, CA Metro Area","5,623"
"Victoria, TX Metro Area","778"
"Vineland, NJ Metro Area","1,246"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","30,268"
"Visalia, CA Metro Area","2,371"
"Waco, TX Metro Area","2,839"
"Walla Walla, WA Metro Area","662"
"Warner Robins, GA Metro Area","2,692"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","248,890"
"Waterbury-Shelton, CT Metro Area","6,581"
"Waterloo-Cedar Falls, IA Metro Area","1,787"
"Watertown-Fort Drum, NY Metro Area","973"
"Wausau, WI Metro Area","1,261"
"Weirton-Steubenville, WV-OH Metro Area","1,182"
"Wenatchee-East Wenatchee, WA Metro Area","1,487"
"Wheeling, WV-OH Metro Area","1,337"
"Wichita, KS Metro Area","8,468"
"Wichita Falls, TX Metro Area","1,140"
"Wildwood-The Villages, FL Metro Area","625"
"Williamsport, PA Metro Area","1,044"
"Wilmington, NC Metro Area","9,124"
"Winchester, VA-WV Metro Area","1,427"
"Winston-Salem, NC Metro Area","7,361"
"Worcester, MA Metro Area","15,623"
"Yakima, WA Metro Area","2,042"
"York-Hanover, PA Metro Area","5,982"
"Youngstown-Warren, OH Metro Area","2,939"
"Yuba City, CA Metro Area","1,220"
"Yuma, AZ Metro Area","1,573"
