"Region","Educational services, and health care and social assistance:","MoE"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","45,078","± 1,653"
"Visalia, CA Metro Area","11,685","± 1,022"
"Waco, TX Metro Area","9,258","± 752"
"Walla Walla, WA Metro Area","2,445","± 362"
"Warner Robins, GA Metro Area","4,392","± 716"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","175,308","± 2,988"
"Waterbury-Shelton, CT Metro Area","15,689","± 1,264"
"Waterloo-Cedar Falls, IA Metro Area","4,840","± 443"
"Watertown-Fort Drum, NY Metro Area","2,587","± 310"
"Wausau, WI Metro Area","3,708","± 396"
"Weirton-Steubenville, WV-OH Metro Area","3,643","± 458"
"Wenatchee-East Wenatchee, WA Metro Area","3,029","± 558"
"Wheeling, WV-OH Metro Area","4,252","± 372"
"Wichita, KS Metro Area","18,211","± 1,103"
"Wichita Falls, TX Metro Area","4,210","± 505"
"Wildwood-The Villages, FL Metro Area","1,352","± 541"
"Williamsport, PA Metro Area","3,395","± 363"
"Wilmington, NC Metro Area","10,290","± 799"
"Winchester, VA-WV Metro Area","3,420","± 442"
"Winston-Salem, NC Metro Area","18,478","± 1,045"
"Worcester, MA Metro Area","32,654","± 1,310"
"Yakima, WA Metro Area","5,886","± 553"
"York-Hanover, PA Metro Area","11,640","± 964"
"Youngstown-Warren, OH Metro Area","10,876","± 804"
"Yuba City, CA Metro Area","4,222","± 558"
"Yuma, AZ Metro Area","3,892","± 535"
