"Region","Public administration","MoE"
"Mankato, MN Metro Area","1,083","± 210"
"Mansfield, OH Metro Area","1,340","± 269"
"Mayagüez, PR Metro Area","2,241","± 348"
"McAllen-Edinburg-Mission, TX Metro Area","9,137","± 788"
"Medford, OR Metro Area","2,040","± 377"
"Memphis, TN-MS-AR Metro Area","14,265","± 1,157"
"Merced, CA Metro Area","2,491","± 431"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","59,395","± 2,284"
"Michigan City-La Porte, IN Metro Area","1,062","± 262"
"Midland, MI Metro Area","830","± 175"
"Midland, TX Metro Area","1,619","± 432"
"Milwaukee-Waukesha, WI Metro Area","13,575","± 872"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","34,215","± 1,387"
"Minot, ND Metro Area","1,208","± 257"
"Missoula, MT Metro Area","1,340","± 285"
"Mobile, AL Metro Area","4,451","± 697"
"Modesto, CA Metro Area","4,920","± 504"
"Monroe, LA Metro Area","2,191","± 471"
"Monroe, MI Metro Area","1,256","± 237"
"Montgomery, AL Metro Area","8,324","± 752"
"Morgantown, WV Metro Area","2,201","± 289"
"Morristown, TN Metro Area","968","± 204"
"Mount Vernon-Anacortes, WA Metro Area","1,708","± 293"
"Muncie, IN Metro Area","992","± 232"
"Muskegon-Norton Shores, MI Metro Area","1,253","± 245"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","2,986","± 492"
"Napa, CA Metro Area","1,536","± 313"
"Naples-Marco Island, FL Metro Area","3,326","± 643"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","22,015","± 1,559"
"New Haven, CT Metro Area","6,044","± 711"
"New Orleans-Metairie, LA Metro Area","11,152","± 884"
"New York-Newark-Jersey City, NY-NJ Metro Area","236,055","± 4,270"
"Niles, MI Metro Area","982","± 198"
"North Port-Bradenton-Sarasota, FL Metro Area","7,050","± 796"
"Norwich-New London-Willimantic, CT Metro Area","4,101","± 545"
"Ocala, FL Metro Area","4,478","± 684"
"Odessa, TX Metro Area","914","± 305"
"Ogden, UT Metro Area","16,295","± 878"
"Oklahoma City, OK Metro Area","31,905","± 1,138"
"Olympia-Lacey-Tumwater, WA Metro Area","10,391","± 792"
"Omaha, NE-IA Metro Area","10,971","± 806"
