"Region","90 or more minutes","MoE"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","2,663","± 450"
"Napa, CA Metro Area","1,669","± 308"
"Naples-Marco Island, FL Metro Area","2,897","± 682"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","15,751","± 1,118"
"New Haven, CT Metro Area","5,692","± 645"
"New Orleans-Metairie, LA Metro Area","8,133","± 634"
"New York-Newark-Jersey City, NY-NJ Metro Area","514,093","± 6,843"
"Niles, MI Metro Area","1,358","± 242"
"North Port-Bradenton-Sarasota, FL Metro Area","6,039","± 564"
"Norwich-New London-Willimantic, CT Metro Area","2,351","± 449"
"Ocala, FL Metro Area","2,943","± 527"
"Odessa, TX Metro Area","3,696","± 1,084"
"Ogden, UT Metro Area","4,012","± 460"
"Oklahoma City, OK Metro Area","10,582","± 858"
"Olympia-Lacey-Tumwater, WA Metro Area","3,149","± 416"
"Omaha, NE-IA Metro Area","5,421","± 526"
"Orlando-Kissimmee-Sanford, FL Metro Area","28,397","± 1,916"
"Oshkosh-Neenah, WI Metro Area","1,155","± 261"
"Owensboro, KY Metro Area","845","± 234"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","9,640","± 865"
"Paducah, KY-IL Metro Area","628","± 166"
"Palm Bay-Melbourne-Titusville, FL Metro Area","4,695","± 574"
"Panama City-Panama City Beach, FL Metro Area","2,101","± 385"
"Parkersburg-Vienna, WV Metro Area","539","± 154"
"Pensacola-Ferry Pass-Brent, FL Metro Area","4,889","± 721"
"Peoria, IL Metro Area","2,536","± 373"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","71,327","± 2,123"
"Phoenix-Mesa-Chandler, AZ Metro Area","34,469","± 1,682"
"Pinehurst-Southern Pines, NC Metro Area","864","± 269"
"Pittsburgh, PA Metro Area","20,044","± 1,064"
"Pittsfield, MA Metro Area","921","± 213"
"Pocatello, ID Metro Area","932","± 220"
"Ponce, PR Metro Area","2,521","± 438"
"Portland-South Portland, ME Metro Area","5,322","± 558"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","18,714","± 1,209"
"Port St. Lucie, FL Metro Area","5,819","± 704"
"Prescott Valley-Prescott, AZ Metro Area","2,994","± 509"
"Providence-Warwick, RI-MA Metro Area","21,261","± 1,298"
"Provo-Orem-Lehi, UT Metro Area","3,637","± 453"
"Pueblo, CO Metro Area","1,442","± 272"
"Punta Gorda, FL Metro Area","2,045","± 425"
"Racine-Mount Pleasant, WI Metro Area","1,598","± 368"
"Raleigh-Cary, NC Metro Area","10,227","± 1,061"
"Rapid City, SD Metro Area","1,319","± 328"
"Reading, PA Metro Area","4,224","± 589"
"Redding, CA Metro Area","1,570","± 330"
"Reno, NV Metro Area","3,948","± 515"
"Richmond, VA Metro Area","12,411","± 960"
"Riverside-San Bernardino-Ontario, CA Metro Area","125,199","± 3,492"
"Roanoke, VA Metro Area","1,860","± 369"
"Rochester, MN Metro Area","1,664","± 331"
"Rochester, NY Metro Area","4,984","± 555"
"Rockford, IL Metro Area","4,095","± 537"
"Rocky Mount, NC Metro Area","1,006","± 272"
"Rome, GA Metro Area","1,275","± 351"
"Sacramento-Roseville-Folsom, CA Metro Area","34,312","± 1,748"
"Saginaw, MI Metro Area","1,836","± 281"
"St. Cloud, MN Metro Area","2,631","± 363"
"St. George, UT Metro Area","1,180","± 278"
"St. Joseph, MO-KS Metro Area","777","± 184"
"St. Louis, MO-IL Metro Area","19,779","± 1,233"
"Salem, OR Metro Area","3,131","± 516"
"Salinas, CA Metro Area","5,221","± 719"
"Salisbury, MD Metro Area","1,284","± 287"
"Salt Lake City-Murray, UT Metro Area","6,864","± 759"
"San Angelo, TX Metro Area","2,096","± 480"
"San Antonio-New Braunfels, TX Metro Area","24,667","± 1,796"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","28,102","± 1,474"
"Sandusky, OH Metro Area","1,329","± 265"
"San Francisco-Oakland-Fremont, CA Metro Area","75,533","± 2,716"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","20,910","± 1,045"
"San Juan-Bayamón-Caguas, PR Metro Area","21,156","± 1,217"
"San Luis Obispo-Paso Robles, CA Metro Area","2,751","± 545"
"Santa Cruz-Watsonville, CA Metro Area","3,123","± 536"
"Santa Fe, NM Metro Area","971","± 252"
"Santa Maria-Santa Barbara, CA Metro Area","2,812","± 409"
"Santa Rosa-Petaluma, CA Metro Area","6,946","± 687"
"Savannah, GA Metro Area","2,729","± 468"
"Scranton--Wilkes-Barre, PA Metro Area","6,148","± 569"
"Seattle-Tacoma-Bellevue, WA Metro Area","48,771","± 1,966"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,944","± 472"
"Sebring, FL Metro Area","1,123","± 267"
"Sheboygan, WI Metro Area","691","± 173"
"Sherman-Denison, TX Metro Area","2,161","± 390"
"Shreveport-Bossier City, LA Metro Area","2,262","± 473"
"Sierra Vista-Douglas, AZ Metro Area","1,025","± 239"
"Sioux City, IA-NE-SD Metro Area","760","± 176"
"Sioux Falls, SD-MN Metro Area","1,948","± 294"
"Slidell-Mandeville-Covington, LA Metro Area","3,558","± 595"
"South Bend-Mishawaka, IN-MI Metro Area","1,974","± 434"
"Spartanburg, SC Metro Area","3,746","± 521"
"Spokane-Spokane Valley, WA Metro Area","4,614","± 575"
"Springfield, IL Metro Area","1,198","± 282"
"Springfield, MA Metro Area","3,830","± 567"
