"Region","In labor force:","MoE"
"Scranton--Wilkes-Barre, PA Metro Area","281,898","± 2,369"
"Seattle-Tacoma-Bellevue, WA Metro Area","2,243,158","± 6,019"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","69,495","± 1,565"
"Sebring, FL Metro Area","38,027","± 1,058"
"Sheboygan, WI Metro Area","62,322","± 880"
"Sherman-Denison, TX Metro Area","68,765","± 1,139"
"Shreveport-Bossier City, LA Metro Area","177,414","± 2,361"
"Sierra Vista-Douglas, AZ Metro Area","50,524","± 1,158"
"Sioux City, IA-NE-SD Metro Area","75,221","± 895"
"Sioux Falls, SD-MN Metro Area","167,240","± 1,346"
"Slidell-Mandeville-Covington, LA Metro Area","133,532","± 2,236"
"South Bend-Mishawaka, IN-MI Metro Area","161,585","± 1,460"
"Spartanburg, SC Metro Area","177,899","± 1,842"
"Spokane-Spokane Valley, WA Metro Area","290,365","± 2,164"
"Springfield, IL Metro Area","102,968","± 1,235"
"Springfield, MA Metro Area","229,081","± 2,439"
"Springfield, MO Metro Area","239,214","± 1,901"
"Springfield, OH Metro Area","64,185","± 1,032"
"State College, PA Metro Area","77,003","± 1,359"
"Staunton-Stuarts Draft, VA Metro Area","63,740","± 1,051"
"Stockton-Lodi, CA Metro Area","372,892","± 2,610"
"Sumter, SC Metro Area","48,255","± 1,058"
"Syracuse, NY Metro Area","331,767","± 2,535"
"Tallahassee, FL Metro Area","200,756","± 2,327"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,636,363","± 5,181"
"Terre Haute, IN Metro Area","79,882","± 1,269"
"Texarkana, TX-AR Metro Area","63,226","± 1,226"
"Toledo, OH Metro Area","309,598","± 2,316"
"Topeka, KS Metro Area","116,103","± 1,395"
"Traverse City, MI Metro Area","77,546","± 859"
"Trenton-Princeton, NJ Metro Area","198,572","± 2,057"
"Tucson, AZ Metro Area","505,103","± 3,554"
"Tulsa, OK Metro Area","511,915","± 2,245"
"Tuscaloosa, AL Metro Area","133,178","± 2,069"
"Twin Falls, ID Metro Area","56,710","± 943"
"Tyler, TX Metro Area","114,428","± 1,569"
"Urban Honolulu, HI Metro Area","534,096","± 2,987"
"Utica-Rome, NY Metro Area","136,793","± 1,609"
"Valdosta, GA Metro Area","70,322","± 1,426"
"Vallejo, CA Metro Area","226,789","± 1,999"
"Victoria, TX Metro Area","46,822","± 887"
"Vineland, NJ Metro Area","68,571","± 1,112"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","955,277","± 3,549"
"Visalia, CA Metro Area","211,707","± 2,583"
"Waco, TX Metro Area","142,819","± 1,610"
"Walla Walla, WA Metro Area","30,006","± 709"
"Warner Robins, GA Metro Area","97,790","± 1,693"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","3,550,154","± 6,942"
"Waterbury-Shelton, CT Metro Area","243,823","± 2,257"
"Waterloo-Cedar Falls, IA Metro Area","89,594","± 1,112"
"Watertown-Fort Drum, NY Metro Area","58,621","± 788"
"Wausau, WI Metro Area","74,270","± 692"
"Weirton-Steubenville, WV-OH Metro Area","53,960","± 1,094"
"Wenatchee-East Wenatchee, WA Metro Area","60,410","± 1,121"
"Wheeling, WV-OH Metro Area","63,796","± 883"
"Wichita, KS Metro Area","330,570","± 2,649"
"Wichita Falls, TX Metro Area","75,258","± 1,349"
"Wildwood-The Villages, FL Metro Area","32,419","± 1,188"
"Williamsport, PA Metro Area","55,677","± 809"
"Wilmington, NC Metro Area","219,162","± 2,074"
"Winchester, VA-WV Metro Area","73,125","± 1,242"
"Winston-Salem, NC Metro Area","333,712","± 2,997"
"Worcester, MA Metro Area","469,112","± 2,924"
"Yakima, WA Metro Area","118,749","± 1,659"
"York-Hanover, PA Metro Area","243,804","± 1,783"
"Youngstown-Warren, OH Metro Area","200,874","± 1,845"
"Yuba City, CA Metro Area","83,448","± 1,351"
"Yuma, AZ Metro Area","86,787","± 1,332"
