"Region","Unemployed","MoE"
"Muskegon-Norton Shores, MI Metro Area","5,691","± 601"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","8,826","± 998"
"Napa, CA Metro Area","3,643","± 516"
"Naples-Marco Island, FL Metro Area","6,842","± 1,088"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","39,960","± 2,139"
"New Haven, CT Metro Area","18,081","± 1,424"
"New Orleans-Metairie, LA Metro Area","33,580","± 1,832"
"New York-Newark-Jersey City, NY-NJ Metro Area","681,021","± 8,997"
"Niles, MI Metro Area","4,847","± 705"
"North Port-Bradenton-Sarasota, FL Metro Area","16,672","± 1,228"
"Norwich-New London-Willimantic, CT Metro Area","7,242","± 732"
"Ocala, FL Metro Area","8,159","± 1,017"
"Odessa, TX Metro Area","4,469","± 710"
"Ogden, UT Metro Area","9,018","± 765"
"Oklahoma City, OK Metro Area","34,094","± 1,656"
"Olympia-Lacey-Tumwater, WA Metro Area","7,504","± 762"
"Omaha, NE-IA Metro Area","17,597","± 1,133"
"Orlando-Kissimmee-Sanford, FL Metro Area","73,671","± 3,017"
"Oshkosh-Neenah, WI Metro Area","2,047","± 371"
"Owensboro, KY Metro Area","2,484","± 431"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","23,547","± 1,256"
"Paducah, KY-IL Metro Area","1,587","± 301"
"Palm Bay-Melbourne-Titusville, FL Metro Area","14,187","± 1,155"
"Panama City-Panama City Beach, FL Metro Area","3,598","± 501"
"Parkersburg-Vienna, WV Metro Area","2,186","± 342"
"Pensacola-Ferry Pass-Brent, FL Metro Area","12,888","± 1,275"
"Peoria, IL Metro Area","9,145","± 798"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","197,394","± 4,713"
"Phoenix-Mesa-Chandler, AZ Metro Area","118,176","± 3,194"
"Pinehurst-Southern Pines, NC Metro Area","2,023","± 397"
"Pittsburgh, PA Metro Area","63,618","± 2,128"
"Pittsfield, MA Metro Area","3,780","± 566"
"Pocatello, ID Metro Area","1,965","± 365"
"Ponce, PR Metro Area","13,632","± 961"
"Portland-South Portland, ME Metro Area","10,564","± 898"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","68,018","± 2,574"
"Port St. Lucie, FL Metro Area","12,599","± 1,276"
"Prescott Valley-Prescott, AZ Metro Area","4,252","± 564"
"Providence-Warwick, RI-MA Metro Area","50,909","± 2,211"
"Provo-Orem-Lehi, UT Metro Area","12,520","± 885"
"Pueblo, CO Metro Area","4,068","± 497"
"Punta Gorda, FL Metro Area","4,137","± 537"
"Racine-Mount Pleasant, WI Metro Area","4,261","± 571"
"Raleigh-Cary, NC Metro Area","33,046","± 2,003"
"Rapid City, SD Metro Area","2,528","± 503"
"Reading, PA Metro Area","11,745","± 885"
"Redding, CA Metro Area","5,115","± 638"
"Reno, NV Metro Area","14,962","± 1,019"
"Richmond, VA Metro Area","32,887","± 1,774"
"Riverside-San Bernardino-Ontario, CA Metro Area","150,760","± 4,169"
"Roanoke, VA Metro Area","5,683","± 612"
"Rochester, MN Metro Area","4,168","± 476"
"Rochester, NY Metro Area","26,383","± 1,143"
"Rockford, IL Metro Area","12,214","± 1,003"
