"Region","Master's degree","MoE"
"Rockford, IL Metro Area","15,165","± 924"
"Rocky Mount, NC Metro Area","5,055","± 826"
"Rome, GA Metro Area","4,617","± 531"
"Sacramento-Roseville-Folsom, CA Metro Area","144,057","± 3,174"
"Saginaw, MI Metro Area","8,597","± 698"
"St. Cloud, MN Metro Area","8,315","± 613"
"St. George, UT Metro Area","10,868","± 707"
"St. Joseph, MO-KS Metro Area","4,636","± 366"
"St. Louis, MO-IL Metro Area","220,002","± 4,519"
"Salem, OR Metro Area","19,963","± 1,123"
"Salinas, CA Metro Area","20,769","± 1,130"
"Salisbury, MD Metro Area","6,045","± 561"
"Salt Lake City-Murray, UT Metro Area","78,173","± 2,196"
"San Angelo, TX Metro Area","5,274","± 645"
"San Antonio-New Braunfels, TX Metro Area","149,648","± 3,947"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","250,414","± 4,111"
"Sandusky, OH Metro Area","6,410","± 618"
"San Francisco-Oakland-Fremont, CA Metro Area","513,843","± 5,897"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","267,314","± 4,319"
"San Juan-Bayamón-Caguas, PR Metro Area","97,611","± 2,491"
"San Luis Obispo-Paso Robles, CA Metro Area","18,682","± 1,182"
"Santa Cruz-Watsonville, CA Metro Area","21,461","± 1,103"
"Santa Fe, NM Metro Area","16,754","± 848"
"Santa Maria-Santa Barbara, CA Metro Area","24,649","± 1,116"
"Santa Rosa-Petaluma, CA Metro Area","33,280","± 1,247"
"Savannah, GA Metro Area","26,555","± 1,481"
"Scranton--Wilkes-Barre, PA Metro Area","30,670","± 1,317"
"Seattle-Tacoma-Bellevue, WA Metro Area","385,955","± 5,004"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","12,407","± 939"
"Sebring, FL Metro Area","3,657","± 472"
"Sheboygan, WI Metro Area","5,853","± 638"
"Sherman-Denison, TX Metro Area","5,304","± 554"
"Shreveport-Bossier City, LA Metro Area","19,364","± 1,312"
"Sierra Vista-Douglas, AZ Metro Area","7,394","± 745"
"Sioux City, IA-NE-SD Metro Area","5,394","± 505"
"Sioux Falls, SD-MN Metro Area","14,925","± 1,026"
"Slidell-Mandeville-Covington, LA Metro Area","16,603","± 1,162"
"South Bend-Mishawaka, IN-MI Metro Area","18,009","± 1,076"
"Spartanburg, SC Metro Area","18,336","± 1,309"
"Spokane-Spokane Valley, WA Metro Area","33,305","± 1,332"
"Springfield, IL Metro Area","14,668","± 688"
"Springfield, MA Metro Area","29,143","± 1,425"
"Springfield, MO Metro Area","25,915","± 1,350"
"Springfield, OH Metro Area","5,381","± 422"
"State College, PA Metro Area","14,279","± 956"
"Staunton-Stuarts Draft, VA Metro Area","6,428","± 635"
"Stockton-Lodi, CA Metro Area","24,869","± 1,415"
"Sumter, SC Metro Area","5,567","± 908"
"Syracuse, NY Metro Area","50,844","± 1,724"
"Tallahassee, FL Metro Area","27,808","± 1,128"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","209,911","± 3,963"
"Terre Haute, IN Metro Area","6,443","± 578"
"Texarkana, TX-AR Metro Area","5,924","± 650"
"Toledo, OH Metro Area","33,936","± 1,382"
"Topeka, KS Metro Area","13,445","± 796"
"Traverse City, MI Metro Area","13,275","± 755"
"Trenton-Princeton, NJ Metro Area","37,473","± 1,500"
"Tucson, AZ Metro Area","77,426","± 2,592"
"Tulsa, OK Metro Area","48,085","± 1,282"
"Tuscaloosa, AL Metro Area","13,378","± 914"
"Twin Falls, ID Metro Area","4,226","± 567"
"Tyler, TX Metro Area","10,344","± 808"
"Urban Honolulu, HI Metro Area","66,671","± 2,077"
"Utica-Rome, NY Metro Area","17,500","± 857"
"Valdosta, GA Metro Area","6,072","± 540"
"Vallejo, CA Metro Area","19,902","± 1,278"
"Victoria, TX Metro Area","2,370","± 334"
"Vineland, NJ Metro Area","4,454","± 446"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","126,363","± 2,644"
"Visalia, CA Metro Area","11,710","± 888"
"Waco, TX Metro Area","13,180","± 1,017"
"Walla Walla, WA Metro Area","3,495","± 446"
"Warner Robins, GA Metro Area","12,552","± 968"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","805,196","± 8,848"
"Waterbury-Shelton, CT Metro Area","36,498","± 1,628"
"Waterloo-Cedar Falls, IA Metro Area","7,761","± 658"
"Watertown-Fort Drum, NY Metro Area","6,261","± 568"
"Wausau, WI Metro Area","5,894","± 524"
"Weirton-Steubenville, WV-OH Metro Area","4,474","± 514"
"Wenatchee-East Wenatchee, WA Metro Area","5,327","± 481"
"Wheeling, WV-OH Metro Area","6,682","± 512"
"Wichita, KS Metro Area","37,407","± 1,446"
"Wichita Falls, TX Metro Area","6,284","± 620"
