"Geographic Area Name","Median value (2024)","MoE"
"Bolingbrook village, Illinois","334,000","± 14,762"
"Champaign city, Illinois","253,300","± 23,890"
"Chicago city, Illinois","341,200","± 4,756"
"Cicero town, Illinois","261,000","± 15,123"
"Decatur city, Illinois","115,600","± 8,532"
"Elgin city, Illinois","318,400","± 16,423"
"Evanston city, Illinois","489,700","± 56,977"
"Joliet city, Illinois","280,500","± 9,678"
"Naperville city, Illinois","579,200","± 18,025"
"Palatine village, Illinois","349,600","± 26,801"
"Peoria city, Illinois","177,900","± 17,030"
"Rockford city, Illinois","153,500","± 8,846"
"Schaumburg village, Illinois","349,900","± 19,203"
"Skokie village, Illinois","420,600","± 19,476"
"Springfield city, Illinois","189,800","± 13,228"
"Waukegan city, Illinois","219,700","± 13,330"
"Bloomington city, Indiana","372,000","± 31,715"
"Carmel city, Indiana","561,200","± 26,966"
"Evansville city, Indiana","159,800","± 9,412"
"Fishers city, Indiana","420,300","± 22,006"
"Fort Wayne city, Indiana","219,900","± 7,821"
"Gary city, Indiana","112,400","± 9,672"
"Greenwood city, Indiana","289,700","± 15,724"
"Hammond city, Indiana","173,300","± 9,105"
"Indianapolis city (balance), Indiana","241,500","± 4,256"
"Lafayette city, Indiana","202,800","± 15,774"
"Muncie city, Indiana","97,200","± 9,743"
"Noblesville city, Indiana","373,700","± 16,691"
"South Bend city, Indiana","159,400","± 6,530"
"Ames city, Iowa","298,500","± 22,055"
"Ankeny city, Iowa","343,700","± 14,355"
"Cedar Rapids city, Iowa","206,500","± 9,977"
"Davenport city, Iowa","179,800","± 15,848"
"Des Moines city, Iowa","213,300","± 6,212"
"Iowa City city, Iowa","304,100","± 22,242"
"Sioux City city, Iowa","186,100","± 11,722"
"Waterloo city, Iowa","160,200","± 9,683"
"West Des Moines city, Iowa","320,200","± 19,582"
"Kansas City city, Kansas","192,800","± 14,532"
"Lawrence city, Kansas","315,100","± 27,336"
"Olathe city, Kansas","396,400","± 13,129"
"Overland Park city, Kansas","452,800","± 14,550"
"Shawnee city, Kansas","402,900","± 19,425"
"Topeka city, Kansas","163,300","± 12,918"
"Wichita city, Kansas","212,900","± 7,956"
"Bowling Green city, Kentucky","248,300","± 34,464"
"Lexington-Fayette urban county, Kentucky","318,400","± 14,368"
"Louisville/Jefferson County metro government (balance), Kentucky","241,700","± 6,196"
"Baton Rouge city, Louisiana","251,100","± 14,635"
"Kenner city, Louisiana","241,600","± 24,679"
