"Geographic Area Name","Population","MoE"
"Layton city, Utah","84,336","± 46"
"Lehi city, Utah","93,442","± 35"
"Ogden city, Utah","88,661","± 30"
"Orem city, Utah","96,642","± 32"
"Provo city, Utah","115,496","± 64"
"St. George city, Utah","106,289","± 25"
"Salt Lake City city, Utah","217,783","± 33"
"Sandy city, Utah","92,832","± 42"
"South Jordan city, Utah","86,172","± 63"
"West Jordan city, Utah","116,697","± 54"
"West Valley City city, Utah","138,153","± 53"
"Alexandria city, Virginia","159,102","*****"
"Arlington CDP, Virginia","239,807","*****"
"Centreville CDP, Virginia","67,421","± 6,709"
"Chesapeake city, Virginia","254,997","*****"
"Dale City CDP, Virginia","65,783","± 7,285"
"Hampton city, Virginia","137,596","*****"
"Lynchburg city, Virginia","80,301","*****"
"Newport News city, Virginia","183,056","*****"
"Norfolk city, Virginia","231,105","*****"
"Portsmouth city, Virginia","96,482","*****"
"Reston CDP, Virginia","65,052","± 6,033"
"Richmond city, Virginia","233,655","*****"
"Roanoke city, Virginia","97,912","*****"
"Suffolk city, Virginia","103,105","*****"
"Virginia Beach city, Virginia","454,808","*****"
"Auburn city, Washington","86,372","± 4,575"
"Bellevue city, Washington","154,387","± 50"
"Bellingham city, Washington","95,880","± 70"
"Everett city, Washington","112,999","± 53"
"Federal Way city, Washington","100,242","± 45"
"Kennewick city, Washington","86,721","± 37"
"Kent city, Washington","136,587","± 38"
"Kirkland city, Washington","95,495","± 31"
"Marysville city, Washington","76,215","± 34"
"Pasco city, Washington","79,921","± 4,237"
"Redmond city, Washington","82,199","± 37"
"Renton city, Washington","105,551","± 46"
"Sammamish city, Washington","66,465","± 48"
"Seattle city, Washington","780,992","± 54"
"Shoreline city, Washington","66,255","± 27"
"South Hill CDP, Washington","66,731","± 8,079"
"Spokane city, Washington","230,604","± 35"
"Spokane Valley city, Washington","108,287","± 73"
"Tacoma city, Washington","228,187","± 64"
"Vancouver city, Washington","198,988","± 41"
"Yakima city, Washington","97,378","± 49"
