"Geographic Area Name","Median household income","MoE"
"Manchester city, New Hampshire","73,639","± 4,979"
"Nashua city, New Hampshire","85,870","± 7,255"
"Bayonne city, New Jersey","73,110","± 9,658"
"Camden city, New Jersey","39,654","± 8,880"
"Clifton city, New Jersey","81,857","± 11,576"
"East Orange city, New Jersey","51,368","± 10,644"
"Elizabeth city, New Jersey","51,549","± 9,227"
"Jersey City city, New Jersey","81,958","± 5,257"
"Lakewood CDP, New Jersey","40,338","± 11,216"
"Newark city, New Jersey","43,242","± 4,064"
"Passaic city, New Jersey","51,806","± 5,803"
"Paterson city, New Jersey","46,451","± 6,122"
"Toms River CDP, New Jersey","87,797","± 7,365"
"Trenton city, New Jersey","41,715","± 5,494"
"Union City city, New Jersey","59,393","± 8,620"
"Albuquerque city, New Mexico","58,512","± 2,873"
"Las Cruces city, New Mexico","42,058","± 4,039"
"Rio Rancho city, New Mexico","76,096","± 6,939"
"Santa Fe city, New Mexico","60,517","± 6,819"
"Albany city, New York","49,763","± 5,351"
"Buffalo city, New York","40,669","± 3,007"
"Cheektowaga CDP, New York","64,106","± 4,549"
"Mount Vernon city, New York","78,562","± 10,685"
"New Rochelle city, New York","106,386","± 11,064"
"New York city, New York","67,997","± 1,045"
"Rochester city, New York","41,980","± 2,384"
"Schenectady city, New York","53,316","± 10,861"
"Syracuse city, New York","40,076","± 3,902"
"Yonkers city, New York","66,395","± 6,459"
"Asheville city, North Carolina","59,758","± 4,032"
"Cary town, North Carolina","123,857","± 5,547"
"Charlotte city, North Carolina","70,869","± 2,193"
"Concord city, North Carolina","79,329","± 7,674"
"Durham city, North Carolina","71,343","± 2,257"
"Fayetteville city, North Carolina","51,629","± 1,520"
"Gastonia city, North Carolina","53,424","± 4,769"
"Greensboro city, North Carolina","51,825","± 3,198"
"Greenville city, North Carolina","36,687","± 5,481"
"High Point city, North Carolina","57,698","± 4,824"
"Jacksonville city, North Carolina","44,497","± 5,583"
"Raleigh city, North Carolina","74,612","± 4,058"
"Wilmington city, North Carolina","53,186","± 2,783"
"Winston-Salem city, North Carolina","54,228","± 4,574"
"Bismarck city, North Dakota","61,861","± 3,866"
"Fargo city, North Dakota","59,089","± 4,616"
"Akron city, Ohio","41,628","± 2,025"
"Canton city, Ohio","40,934","± 4,660"
"Cincinnati city, Ohio","42,733","± 4,054"
"Cleveland city, Ohio","35,562","± 1,427"
"Columbus city, Ohio","58,202","± 1,999"
"Dayton city, Ohio","39,315","± 2,671"
"Lorain city, Ohio","43,410","± 7,107"
"Parma city, Ohio","57,444","± 3,452"
"Toledo city, Ohio","44,150","± 3,174"
"Broken Arrow city, Oklahoma","73,628","± 3,406"
"Edmond city, Oklahoma","90,384","± 9,429"
"Lawton city, Oklahoma","44,751","± 3,974"
"Norman city, Oklahoma","57,786","± 9,232"
"Oklahoma City city, Oklahoma","59,214","± 2,019"
"Tulsa city, Oklahoma","51,008","± 1,052"
"Beaverton city, Oregon","76,520","± 9,129"
"Bend city, Oregon","82,102","± 7,484"
"Eugene city, Oregon","59,338","± 6,643"
"Gresham city, Oregon","66,129","± 5,636"
"Hillsboro city, Oregon","97,436","± 7,930"
"Medford city, Oregon","63,703","± 7,885"
"Portland city, Oregon","79,057","± 2,831"
"Salem city, Oregon","63,927","± 4,677"
"Allentown city, Pennsylvania","46,745","± 5,803"
"Bethlehem city, Pennsylvania","57,320","± 6,744"
"Erie city, Pennsylvania","43,186","± 4,859"
"Philadelphia city, Pennsylvania","52,899","± 1,643"
"Pittsburgh city, Pennsylvania","57,821","± 3,848"
"Reading city, Pennsylvania","37,107","± 3,528"
"Scranton city, Pennsylvania","54,279","± 4,850"
"Cranston city, Rhode Island","80,564","± 9,689"
"Pawtucket city, Rhode Island","51,817","± 6,797"
"Providence city, Rhode Island","60,970","± 4,273"
