"Geographic Area Name","Employment/Population Ratio"
"Concord city, North Carolina","67.4%"
"Durham city, North Carolina","63.5%"
"Fayetteville city, North Carolina","46.0%"
"Gastonia city, North Carolina","61.2%"
"Greensboro city, North Carolina","60.3%"
"Greenville city, North Carolina","55.2%"
"High Point city, North Carolina","57.5%"
"Jacksonville city, North Carolina","24.4%"
"Raleigh city, North Carolina","64.8%"
"Wilmington city, North Carolina","58.9%"
"Winston-Salem city, North Carolina","57.0%"
"Bismarck city, North Dakota","64.8%"
"Fargo city, North Dakota","70.6%"
"Akron city, Ohio","55.0%"
"Canton city, Ohio","49.9%"
"Cincinnati city, Ohio","59.3%"
"Cleveland city, Ohio","52.4%"
"Columbus city, Ohio","65.3%"
"Dayton city, Ohio","49.7%"
"Lorain city, Ohio","52.6%"
"Parma city, Ohio","61.3%"
"Toledo city, Ohio","57.0%"
"Broken Arrow city, Oklahoma","63.8%"
"Edmond city, Oklahoma","62.2%"
"Lawton city, Oklahoma","43.1%"
"Norman city, Oklahoma","59.7%"
"Oklahoma City city, Oklahoma","61.9%"
"Tulsa city, Oklahoma","58.8%"
"Beaverton city, Oregon","66.2%"
"Eugene city, Oregon","58.1%"
"Gresham city, Oregon","58.5%"
"Hillsboro city, Oregon","64.2%"
"Medford city, Oregon","54.6%"
"Portland city, Oregon","65.6%"
"Salem city, Oregon","56.6%"
"Allentown city, Pennsylvania","52.9%"
"Bethlehem city, Pennsylvania","56.8%"
"Erie city, Pennsylvania","53.4%"
"Philadelphia city, Pennsylvania","56.3%"
"Pittsburgh city, Pennsylvania","58.5%"
"Reading city, Pennsylvania","50.0%"
"Scranton city, Pennsylvania","54.1%"
"Cranston city, Rhode Island","59.5%"
"Pawtucket city, Rhode Island","65.3%"
"Providence city, Rhode Island","60.1%"
"Warwick city, Rhode Island","60.1%"
"Charleston city, South Carolina","62.9%"
"Columbia city, South Carolina","55.2%"
"Greenville city, South Carolina","65.1%"
"North Charleston city, South Carolina","65.4%"
"Rock Hill city, South Carolina","64.0%"
"Rapid City city, South Dakota","62.0%"
"Sioux Falls city, South Dakota","72.8%"
"Chattanooga city, Tennessee","59.0%"
"Clarksville city, Tennessee","53.7%"
"Jackson city, Tennessee","54.7%"
"Johnson City city, Tennessee","54.9%"
"Knoxville city, Tennessee","59.8%"
"Memphis city, Tennessee","57.4%"
"Murfreesboro city, Tennessee","70.6%"
"Nashville-Davidson metropolitan government (balance), Tennessee","66.4%"
"Abilene city, Texas","55.7%"
"Amarillo city, Texas","63.6%"
"Arlington city, Texas","64.5%"
"Atascocita CDP, Texas","69.4%"
"Austin city, Texas","71.2%"
"Baytown city, Texas","54.3%"
"Beaumont city, Texas","61.8%"
"Brownsville city, Texas","53.4%"
"Bryan city, Texas","55.3%"
"Carrollton city, Texas","70.9%"
"College Station city, Texas","60.1%"
"Corpus Christi city, Texas","56.8%"
"Dallas city, Texas","64.0%"
"Denton city, Texas","64.1%"
"El Paso city, Texas","55.2%"
"Flower Mound town, Texas","70.0%"
"Fort Worth city, Texas","64.5%"
"Frisco city, Texas","68.8%"
"Garland city, Texas","62.1%"
"Georgetown city, Texas","54.1%"
"Grand Prairie city, Texas","64.1%"
"Houston city, Texas","61.6%"
"Irving city, Texas","69.0%"
"Killeen city, Texas","52.7%"
"Laredo city, Texas","56.0%"
"League City city, Texas","66.2%"
"Lewisville city, Texas","69.6%"
"Longview city, Texas","59.6%"
"Lubbock city, Texas","62.9%"
"McAllen city, Texas","58.4%"
"McKinney city, Texas","67.1%"
"Mesquite city, Texas","66.2%"
"Midland city, Texas","69.3%"
"Mission city, Texas","53.2%"
"North Richland Hills city, Texas","62.2%"
"Odessa city, Texas","66.2%"
"Pasadena city, Texas","55.4%"
"Plano city, Texas","65.2%"
"Richardson city, Texas","65.0%"
"Round Rock city, Texas","68.5%"
"San Angelo city, Texas","58.8%"
"San Antonio city, Texas","59.8%"
"San Marcos city, Texas","60.1%"
"Sugar Land city, Texas","59.0%"
"Temple city, Texas","58.4%"
"Tyler city, Texas","58.6%"
"Victoria city, Texas","61.3%"
"Waco city, Texas","58.4%"
"Wichita Falls city, Texas","54.0%"
"Layton city, Utah","69.6%"
"Ogden city, Utah","64.0%"
"Orem city, Utah","70.2%"
"Provo city, Utah","70.5%"
"St. George city, Utah","55.2%"
"Salt Lake City city, Utah","71.4%"
"Sandy city, Utah","65.7%"
"West Jordan city, Utah","68.1%"
"West Valley City city, Utah","70.5%"
"Alexandria city, Virginia","73.8%"
"Arlington CDP, Virginia","71.7%"
"Centreville CDP, Virginia","69.9%"
"Chesapeake city, Virginia","60.8%"
"Dale City CDP, Virginia","68.1%"
"Hampton city, Virginia","57.4%"
"Lynchburg city, Virginia","58.0%"
"Newport News city, Virginia","57.7%"
"Norfolk city, Virginia","52.1%"
"Portsmouth city, Virginia","54.1%"
"Richmond city, Virginia","60.8%"
"Roanoke city, Virginia","59.5%"
"Suffolk city, Virginia","57.8%"
"Virginia Beach city, Virginia","60.3%"
"Auburn city, Washington","63.5%"
"Bellevue city, Washington","61.0%"
"Bellingham city, Washington","61.8%"
"Everett city, Washington","61.1%"
"Federal Way city, Washington","58.9%"
"Kennewick city, Washington","54.1%"
"Kent city, Washington","64.5%"
"Kirkland city, Washington","64.7%"
"Marysville city, Washington","63.3%"
"Pasco city, Washington","66.8%"
"Renton city, Washington","63.9%"
"Seattle city, Washington","69.2%"
"South Hill CDP, Washington","65.9%"
"Spokane city, Washington","57.6%"
"Spokane Valley city, Washington","62.2%"
"Tacoma city, Washington","61.9%"
"Vancouver city, Washington","57.7%"
"Yakima city, Washington","49.7%"
"Appleton city, Wisconsin","62.9%"
"Eau Claire city, Wisconsin","67.6%"
"Green Bay city, Wisconsin","62.4%"
"Kenosha city, Wisconsin","62.3%"
"Madison city, Wisconsin","66.9%"
"Milwaukee city, Wisconsin","59.5%"
"Oshkosh city, Wisconsin","60.8%"
"Racine city, Wisconsin","59.1%"
"Cheyenne city, Wyoming","63.1%"
"Bayamón zona urbana, Puerto Rico","40.3%"
"Caguas zona urbana, Puerto Rico","42.5%"
"Carolina zona urbana, Puerto Rico","45.6%"
"Guaynabo zona urbana, Puerto Rico","46.3%"
"Ponce zona urbana, Puerto Rico","34.7%"
"San Juan zona urbana, Puerto Rico","44.3%"
