"Geographic Area Name","Multi-Family, 10+ Units","MoE"
"Clarksville city, Tennessee","2,259","± 1,001"
"Franklin city, Tennessee","3,423","± 1,524"
"Jackson city, Tennessee","2,228","± 1,299"
"Johnson City city, Tennessee","2,628","± 1,029"
"Knoxville city, Tennessee","13,533","± 2,364"
"Memphis city, Tennessee","21,659","± 3,317"
"Murfreesboro city, Tennessee","8,181","± 2,353"
"Nashville-Davidson metropolitan government (balance), Tennessee","27,722","± 4,279"
"Abilene city, Texas","1,339","± 828"
"Allen city, Texas","1,320","± 898"
"Amarillo city, Texas","4,415","± 1,379"
"Arlington city, Texas","14,012","± 2,750"
"Austin city, Texas","57,839","± 5,456"
"Baytown city, Texas","2,585","± 1,006"
"Beaumont city, Texas","2,068","± 1,098"
"Brownsville city, Texas","1,279","± 687"
"Bryan city, Texas","1,981","± 755"
"Carrollton city, Texas","3,001","± 1,031"
"Cedar Park city, Texas","1,802","± 855"
"College Station city, Texas","3,396","± 1,086"
"Conroe city, Texas","4,973","± 1,758"
"Corpus Christi city, Texas","8,290","± 2,019"
"Dallas city, Texas","52,529","± 5,414"
"Denton city, Texas","3,453","± 1,149"
"Edinburg city, Texas","1,674","± 941"
"El Paso city, Texas","13,023","± 2,505"
"Flower Mound town, Texas","544","± 443"
"Fort Worth city, Texas","25,257","± 4,049"
"Frisco city, Texas","2,013","± 1,122"
"Garland city, Texas","9,748","± 2,242"
"Georgetown city, Texas","1,002","± 636"
"Grand Prairie city, Texas","4,878","± 1,555"
"Harlingen city, Texas","943","± 626"
"Houston city, Texas","118,969","± 8,022"
"Irving city, Texas","15,496","± 2,776"
"Killeen city, Texas","2,217","± 1,072"
"Laredo city, Texas","3,552","± 1,215"
"League City city, Texas","1,533","± 703"
"Leander city, Texas","2,211","± 1,051"
"Lewisville city, Texas","5,647","± 1,845"
"Longview city, Texas","1,957","± 1,030"
"Lubbock city, Texas","6,953","± 1,599"
"McAllen city, Texas","3,419","± 981"
"McKinney city, Texas","4,132","± 1,430"
"Mansfield city, Texas","1,169","± 780"
"Mesquite city, Texas","4,094","± 1,614"
"Midland city, Texas","4,108","± 1,480"
"Mission city, Texas","1,126","± 638"
"New Braunfels city, Texas","1,535","± 868"
"North Richland Hills city, Texas","1,653","± 842"
"Odessa city, Texas","1,957","± 840"
"Pasadena city, Texas","5,364","± 1,393"
"Pearland city, Texas","3,202","± 1,225"
"Pharr city, Texas","67","± 118"
"Plano city, Texas","7,105","± 2,029"
"Richardson city, Texas","2,892","± 1,141"
"Round Rock city, Texas","6,700","± 1,680"
"San Angelo city, Texas","3,460","± 1,171"
"San Antonio city, Texas","55,423","± 5,447"
"San Marcos city, Texas","3,527","± 1,508"
"Temple city, Texas","1,610","± 927"
"The Woodlands CDP, Texas","2,241","± 1,052"
"Tyler city, Texas","2,209","± 979"
"Victoria city, Texas","2,094","± 1,085"
"Waco city, Texas","4,380","± 1,399"
"Wichita Falls city, Texas","1,021","± 575"
"Layton city, Utah","1,121","± 627"
"Lehi city, Utah","631","± 560"
"Ogden city, Utah","1,917","± 937"
"Orem city, Utah","2,434","± 945"
"Provo city, Utah","5,362","± 1,256"
"St. George city, Utah","1,454","± 683"
"Salt Lake City city, Utah","5,271","± 1,610"
"Sandy city, Utah","1,890","± 754"
"South Jordan city, Utah","451","± 327"
"West Jordan city, Utah","2,066","± 1,067"
"West Valley City city, Utah","1,558","± 656"
"Alexandria city, Virginia","9,905","± 1,616"
"Arlington CDP, Virginia","6,729","± 1,287"
"Centreville CDP, Virginia","2,270","± 774"
"Chesapeake city, Virginia","2,854","± 986"
"Hampton city, Virginia","4,227","± 1,222"
"Lynchburg city, Virginia","3,193","± 1,068"
"Newport News city, Virginia","5,194","± 1,302"
"Norfolk city, Virginia","6,119","± 1,717"
"Portsmouth city, Virginia","1,813","± 964"
"Reston CDP, Virginia","3,070","± 939"
"Richmond city, Virginia","7,187","± 1,657"
"Roanoke city, Virginia","3,978","± 1,253"
"Suffolk city, Virginia","1,598","± 704"
"Virginia Beach city, Virginia","10,035","± 2,067"
"Auburn city, Washington","1,283","± 699"
"Bellevue city, Washington","3,363","± 1,302"
"Bellingham city, Washington","4,648","± 1,416"
"Everett city, Washington","3,820","± 1,363"
"Federal Way city, Washington","4,736","± 1,446"
"Kennewick city, Washington","1,113","± 716"
"Kent city, Washington","4,470","± 1,506"
"Kirkland city, Washington","4,868","± 1,271"
"Marysville city, Washington","1,435","± 733"
"Pasco city, Washington","1,905","± 1,002"
"Redmond city, Washington","3,066","± 1,278"
"Renton city, Washington","3,527","± 1,126"
"Sammamish city, Washington","836","± 629"
"Seattle city, Washington","31,371","± 3,330"
"Shoreline city, Washington","459","± 299"
"South Hill CDP, Washington","1,972","± 1,320"
"Spokane city, Washington","5,070","± 1,321"
"Spokane Valley city, Washington","3,519","± 1,113"
"Tacoma city, Washington","7,393","± 1,756"
"Vancouver city, Washington","4,893","± 1,519"
"Yakima city, Washington","1,728","± 863"
"Appleton city, Wisconsin","2,357","± 1,006"
"Eau Claire city, Wisconsin","2,258","± 972"
"Green Bay city, Wisconsin","2,089","± 753"
"Janesville city, Wisconsin","713","± 704"
"Kenosha city, Wisconsin","1,892","± 656"
"Madison city, Wisconsin","10,364","± 2,006"
"Milwaukee city, Wisconsin","10,326","± 2,159"
