"Geographic Area Name","35.0 to 39.9 percent (2021)","MoE"
"Bloomington city, Illinois","700","± 424"
"Bolingbrook village, Illinois","182","± 188"
"Champaign city, Illinois","1,365","± 744"
"Chicago city, Illinois","32,518","± 3,823"
"Cicero town, Illinois","310","± 377"
"Decatur city, Illinois","794","± 568"
"Elgin city, Illinois","362","± 300"
"Evanston city, Illinois","795","± 463"
"Joliet city, Illinois","1,614","± 751"
"Naperville city, Illinois","652","± 501"
"Palatine village, Illinois","537","± 430"
"Peoria city, Illinois","1,337","± 673"
"Rockford city, Illinois","1,709","± 674"
"Schaumburg village, Illinois","519","± 365"
"Skokie village, Illinois","39","± 64"
"Springfield city, Illinois","880","± 482"
"Waukegan city, Illinois","777","± 371"
"Bloomington city, Indiana","1,242","± 647"
"Carmel city, Indiana","427","± 320"
"Evansville city, Indiana","1,979","± 850"
"Fishers city, Indiana","182","± 295"
"Fort Wayne city, Indiana","2,090","± 737"
"Hammond city, Indiana","552","± 374"
"Indianapolis city (balance), Indiana","12,183","± 2,605"
"Lafayette city, Indiana","1,080","± 557"
"Noblesville city, Indiana","484","± 434"
"South Bend city, Indiana","1,174","± 644"
"Ames city, Iowa","185","± 197"
"Ankeny city, Iowa","1,027","± 1,161"
"Cedar Rapids city, Iowa","1,139","± 762"
"Davenport city, Iowa","301","± 292"
"Des Moines city, Iowa","2,031","± 699"
"Iowa City city, Iowa","1,079","± 742"
"Sioux City city, Iowa","407","± 371"
"Waterloo city, Iowa","549","± 396"
"West Des Moines city, Iowa","1,526","± 809"
"Kansas City city, Kansas","1,155","± 615"
"Lawrence city, Kansas","1,193","± 542"
"Olathe city, Kansas","296","± 251"
"Overland Park city, Kansas","1,713","± 817"
"Shawnee city, Kansas","420","± 504"
"Topeka city, Kansas","1,527","± 777"
"Wichita city, Kansas","3,081","± 812"
"Bowling Green city, Kentucky","1,293","± 709"
"Lexington-Fayette urban county, Kentucky","2,975","± 915"
"Louisville/Jefferson County metro government (balance), Kentucky","5,875","± 1,583"
"Baton Rouge city, Louisiana","3,294","± 1,697"
"Kenner city, Louisiana","991","± 685"
"Lafayette city, Louisiana","1,562","± 773"
"Lake Charles city, Louisiana","375","± 453"
"Metairie CDP, Louisiana","1,396","± 716"
"New Orleans city, Louisiana","5,198","± 1,150"
"Shreveport city, Louisiana","1,952","± 906"
"Portland city, Maine","954","± 472"
"Baltimore city, Maryland","7,718","± 1,658"
"Bethesda CDP, Maryland","732","± 381"
"Columbia CDP, Maryland","702","± 432"
"Ellicott City CDP, Maryland","150","± 145"
"Frederick city, Maryland","790","± 613"
"Gaithersburg city, Maryland","479","± 419"
"Germantown CDP, Maryland","1,070","± 697"
"Glen Burnie CDP, Maryland","712","± 365"
"Rockville city, Maryland","655","± 400"
"Silver Spring CDP, Maryland","1,213","± 591"
"Waldorf CDP, Maryland","466","± 478"
"Boston city, Massachusetts","12,557","± 2,077"
"Brockton city, Massachusetts","1,714","± 794"
"Cambridge city, Massachusetts","1,735","± 585"
"Fall River city, Massachusetts","2,077","± 809"
"Framingham city, Massachusetts","942","± 596"
"Haverhill city, Massachusetts","625","± 429"
"Lawrence city, Massachusetts","1,613","± 754"
"Lowell city, Massachusetts","3,184","± 1,141"
"Lynn city, Massachusetts","1,074","± 634"
"Malden city, Massachusetts","1,362","± 769"
"New Bedford city, Massachusetts","1,306","± 542"
"Newton city, Massachusetts","235","± 176"
"Quincy city, Massachusetts","1,209","± 678"
"Somerville city, Massachusetts","1,021","± 635"
"Springfield city, Massachusetts","1,179","± 570"
"Worcester city, Massachusetts","2,581","± 1,064"
"Ann Arbor city, Michigan","1,456","± 541"
"Dearborn city, Michigan","744","± 429"
"Detroit city, Michigan","8,648","± 1,686"
"Farmington Hills city, Michigan","852","± 678"
"Flint city, Michigan","671","± 409"
"Grand Rapids city, Michigan","2,103","± 854"
"Kalamazoo city, Michigan","1,405","± 1,000"
"Lansing city, Michigan","1,647","± 847"
"Livonia city, Michigan","151","± 197"
"Novi city, Michigan","403","± 386"
"Rochester Hills city, Michigan","306","± 230"
"Southfield city, Michigan","173","± 175"
"Sterling Heights city, Michigan","1,215","± 824"
"Troy city, Michigan","316","± 312"
"Warren city, Michigan","883","± 528"
"Westland city, Michigan","722","± 451"
"Wyoming city, Michigan","901","± 647"
"Blaine city, Minnesota","79","± 134"
"Bloomington city, Minnesota","1,122","± 581"
"Brooklyn Park city, Minnesota","396","± 451"
"Duluth city, Minnesota","675","± 296"
"Eagan city, Minnesota","952","± 544"
"Maple Grove city, Minnesota","80","± 67"
"Minneapolis city, Minnesota","5,655","± 1,408"
"Plymouth city, Minnesota","775","± 631"
"Rochester city, Minnesota","1,196","± 599"
"St. Cloud city, Minnesota","1,042","± 670"
"St. Paul city, Minnesota","2,561","± 900"
"Gulfport city, Mississippi","836","± 535"
"Jackson city, Mississippi","2,307","± 922"
"Columbia city, Missouri","1,780","± 779"
"Independence city, Missouri","965","± 623"
"Kansas City city, Missouri","4,567","± 1,327"
"Lee's Summit city, Missouri","860","± 661"
"O'Fallon city, Missouri","606","± 458"
"St. Charles city, Missouri","108","± 131"
"St. Joseph city, Missouri","976","± 580"
"St. Louis city, Missouri","4,470","± 1,322"
"Springfield city, Missouri","3,055","± 1,053"
"Billings city, Montana","363","± 281"
"Missoula city, Montana","1,853","± 869"
"Lincoln city, Nebraska","3,255","± 974"
"Omaha city, Nebraska","5,603","± 1,277"
"Enterprise CDP, Nevada","2,295","± 969"
"Henderson city, Nevada","3,060","± 1,025"
"Las Vegas city, Nevada","8,657","± 1,499"
"North Las Vegas city, Nevada","2,084","± 1,075"
"Paradise CDP, Nevada","2,433","± 751"
"Reno city, Nevada","4,278","± 1,367"
"Sparks city, Nevada","691","± 487"
"Spring Valley CDP, Nevada","2,848","± 1,207"
"Sunrise Manor CDP, Nevada","2,545","± 944"
"Manchester city, New Hampshire","1,529","± 629"
"Nashua city, New Hampshire","1,427","± 626"
"Bayonne city, New Jersey","684","± 388"
"Camden city, New Jersey","828","± 612"
"Clifton city, New Jersey","741","± 718"
"East Orange city, New Jersey","2,415","± 1,184"
"Elizabeth city, New Jersey","1,972","± 734"
"Jersey City city, New Jersey","4,609","± 1,318"
"Newark city, New Jersey","6,659","± 1,819"
"Passaic city, New Jersey","942","± 503"
"Paterson city, New Jersey","3,102","± 1,001"
"Toms River CDP, New Jersey","147","± 175"
"Trenton city, New Jersey","1,350","± 812"
"Union City city, New Jersey","1,183","± 724"
"Albuquerque city, New Mexico","6,335","± 1,587"
"Las Cruces city, New Mexico","1,460","± 966"
"Rio Rancho city, New Mexico","532","± 627"
"Santa Fe city, New Mexico","433","± 282"
"Albany city, New York","1,436","± 733"
"Buffalo city, New York","5,370","± 1,678"
"Cheektowaga CDP, New York","400","± 212"
"Mount Vernon city, New York","899","± 763"
"New Rochelle city, New York","664","± 541"
"New York city, New York","136,148","± 7,943"
"Rochester city, New York","3,935","± 1,214"
"Schenectady city, New York","216","± 282"
"Syracuse city, New York","1,696","± 627"
"Yonkers city, New York","3,395","± 1,275"
"Asheville city, North Carolina","1,171","± 560"
"Cary town, North Carolina","891","± 555"
"Charlotte city, North Carolina","11,822","± 2,271"
"Concord city, North Carolina","485","± 365"
"Durham city, North Carolina","2,410","± 983"
"Fayetteville city, North Carolina","3,196","± 804"
"Gastonia city, North Carolina","800","± 460"
"Greensboro city, North Carolina","4,211","± 1,366"
"Greenville city, North Carolina","4,319","± 1,748"
"High Point city, North Carolina","565","± 444"
"Jacksonville city, North Carolina","883","± 687"
"Raleigh city, North Carolina","5,974","± 1,417"
"Wilmington city, North Carolina","1,891","± 919"
"Winston-Salem city, North Carolina","1,438","± 668"
"Bismarck city, North Dakota","596","± 415"
"Fargo city, North Dakota","1,225","± 688"
"Akron city, Ohio","2,391","± 1,061"
"Canton city, Ohio","687","± 504"
"Cincinnati city, Ohio","5,676","± 1,477"
"Cleveland city, Ohio","6,397","± 1,345"
"Columbus city, Ohio","12,862","± 2,216"
"Dayton city, Ohio","1,804","± 862"
"Lorain city, Ohio","652","± 336"
"Parma city, Ohio","177","± 174"
"Toledo city, Ohio","2,359","± 969"
"Broken Arrow city, Oklahoma","693","± 318"
"Edmond city, Oklahoma","880","± 449"
"Lawton city, Oklahoma","1,443","± 598"
"Norman city, Oklahoma","2,401","± 1,187"
"Oklahoma City city, Oklahoma","6,041","± 1,511"
"Tulsa city, Oklahoma","5,402","± 916"
"Beaverton city, Oregon","2,050","± 979"
"Bend city, Oregon","665","± 595"
"Eugene city, Oregon","2,163","± 765"
"Gresham city, Oregon","1,053","± 560"
"Hillsboro city, Oregon","924","± 619"
"Medford city, Oregon","1,055","± 519"
"Portland city, Oregon","9,739","± 1,826"
"Salem city, Oregon","2,421","± 820"
