"Geographic Area Name","Total Burdened (2021)","MoE"
"Caldwell city, Idaho","5,639","± 1,288"
"Idaho Falls city, Idaho","8,388","± 1,348"
"Meridian city, Idaho","14,780","± 1,997"
"Nampa city, Idaho","13,011","± 1,611"
"Arlington Heights village, Illinois","7,939","± 1,685"
"Aurora city, Illinois","22,543","± 2,860"
"Bloomington city, Illinois","14,285","± 1,692"
"Bolingbrook village, Illinois","5,462","± 1,325"
"Champaign city, Illinois","22,476","± 1,946"
"Chicago city, Illinois","626,859","± 13,424"
"Cicero town, Illinois","10,811","± 2,057"
"Decatur city, Illinois","11,646","± 1,756"
"Elgin city, Illinois","10,192","± 1,969"
"Evanston city, Illinois","15,269","± 1,799"
"Joliet city, Illinois","10,664","± 1,571"
"Naperville city, Illinois","13,528","± 1,726"
"Palatine village, Illinois","8,612","± 1,762"
"Peoria city, Illinois","20,280","± 2,213"
"Rockford city, Illinois","27,858","± 1,893"
"Schaumburg village, Illinois","10,531","± 1,802"
"Skokie village, Illinois","5,896","± 1,464"
"Springfield city, Illinois","19,331","± 2,091"
"Waukegan city, Illinois","17,945","± 2,469"
"Bloomington city, Indiana","22,569","± 2,136"
"Carmel city, Indiana","11,453","± 1,778"
"Evansville city, Indiana","23,981","± 1,860"
"Fishers city, Indiana","9,133","± 1,502"
"Fort Wayne city, Indiana","41,677","± 2,663"
"Gary city, Indiana","13,022","± 1,702"
"Greenwood city, Indiana","10,363","± 1,634"
"Hammond city, Indiana","11,279","± 1,532"
"Indianapolis city (balance), Indiana","162,321","± 6,310"
"Lafayette city, Indiana","19,440","± 1,740"
"Muncie city, Indiana","14,180","± 1,652"
"Noblesville city, Indiana","6,954","± 1,523"
"South Bend city, Indiana","16,132","± 1,588"
"Ames city, Iowa","16,898","± 1,350"
"Ankeny city, Iowa","8,444","± 1,424"
"Cedar Rapids city, Iowa","19,805","± 2,155"
"Davenport city, Iowa","18,173","± 1,849"
"Des Moines city, Iowa","35,871","± 3,272"
"Iowa City city, Iowa","16,774","± 1,438"
"Sioux City city, Iowa","10,469","± 1,623"
"Waterloo city, Iowa","10,292","± 1,409"
"West Des Moines city, Iowa","15,224","± 2,148"
"Kansas City city, Kansas","22,279","± 1,998"
"Lawrence city, Kansas","23,275","± 1,847"
"Olathe city, Kansas","13,265","± 1,920"
"Overland Park city, Kansas","34,110","± 2,800"
"Shawnee city, Kansas","8,024","± 1,367"
"Topeka city, Kansas","24,928","± 2,057"
"Wichita city, Kansas","64,252","± 3,508"
"Bowling Green city, Kentucky","21,588","± 2,472"
"Lexington-Fayette urban county, Kentucky","66,787","± 3,098"
"Louisville/Jefferson County metro government (balance), Kentucky","106,866","± 4,164"
"Baton Rouge city, Louisiana","41,370","± 3,320"
"Kenner city, Louisiana","8,007","± 1,858"
"Lafayette city, Louisiana","25,348","± 2,207"
"Lake Charles city, Louisiana","14,373","± 1,798"
"Metairie CDP, Louisiana","24,802","± 2,876"
"New Orleans city, Louisiana","74,293","± 3,619"
"Shreveport city, Louisiana","33,453","± 2,978"
"Portland city, Maine","19,935","± 2,079"
"Baltimore city, Maryland","137,374","± 5,183"
"Bethesda CDP, Maryland","10,639","± 1,679"
"Columbia CDP, Maryland","14,142","± 2,104"
"Ellicott City CDP, Maryland","8,055","± 1,785"
"Frederick city, Maryland","15,132","± 1,905"
"Gaithersburg city, Maryland","12,834","± 1,998"
"Germantown CDP, Maryland","12,201","± 2,594"
"Glen Burnie CDP, Maryland","12,935","± 1,732"
"Rockville city, Maryland","12,006","± 1,267"
"Silver Spring CDP, Maryland","19,185","± 2,358"
"Boston city, Massachusetts","189,050","± 5,388"
"Brockton city, Massachusetts","15,312","± 2,056"
"Cambridge city, Massachusetts","35,718","± 2,246"
"Fall River city, Massachusetts","28,362","± 2,153"
"Framingham city, Massachusetts","14,226","± 1,540"
"Haverhill city, Massachusetts","9,664","± 1,766"
"Lawrence city, Massachusetts","24,647","± 2,391"
"Lowell city, Massachusetts","23,286","± 2,572"
"Lynn city, Massachusetts","19,818","± 2,931"
"Malden city, Massachusetts","14,248","± 1,913"
"New Bedford city, Massachusetts","22,416","± 1,774"
"Newton city, Massachusetts","11,607","± 1,643"
"Quincy city, Massachusetts","22,769","± 2,685"
"Somerville city, Massachusetts","23,490","± 2,133"
"Springfield city, Massachusetts","25,699","± 2,650"
"Waltham city, Massachusetts","13,414","± 1,908"
"Worcester city, Massachusetts","46,917","± 3,836"
"Ann Arbor city, Michigan","26,986","± 2,267"
"Dearborn city, Michigan","10,117","± 1,956"
"Detroit city, Michigan","131,427","± 5,406"
"Farmington Hills city, Michigan","11,877","± 1,415"
"Flint city, Michigan","16,316","± 2,143"
"Grand Rapids city, Michigan","37,366","± 2,579"
"Kalamazoo city, Michigan","16,659","± 1,897"
"Lansing city, Michigan","23,635","± 2,076"
"Livonia city, Michigan","5,405","± 1,139"
"Novi city, Michigan","10,025","± 1,556"
"Rochester Hills city, Michigan","7,004","± 1,363"
"Southfield city, Michigan","16,743","± 2,205"
"Sterling Heights city, Michigan","12,753","± 1,689"
"Troy city, Michigan","9,119","± 1,390"
"Warren city, Michigan","16,109","± 2,133"
"Westland city, Michigan","14,553","± 2,036"
"Wyoming city, Michigan","11,420","± 1,981"
"Blaine city, Minnesota","4,478","± 1,037"
"Bloomington city, Minnesota","14,044","± 1,782"
"Brooklyn Park city, Minnesota","8,368","± 1,555"
"Duluth city, Minnesota","16,792","± 1,868"
"Eagan city, Minnesota","9,437","± 1,372"
"Maple Grove city, Minnesota","5,291","± 1,008"
"Minneapolis city, Minnesota","104,117","± 4,899"
"Plymouth city, Minnesota","9,506","± 1,608"
"Rochester city, Minnesota","17,927","± 1,987"
"St. Cloud city, Minnesota","13,238","± 1,761"
"St. Paul city, Minnesota","64,586","± 3,231"
"Woodbury city, Minnesota","7,644","± 1,526"
"Gulfport city, Mississippi","13,828","± 1,691"
"Jackson city, Mississippi","30,266","± 2,433"
"Columbia city, Missouri","27,148","± 2,177"
"Independence city, Missouri","21,106","± 2,305"
"Kansas City city, Missouri","94,284","± 4,819"
"Lee's Summit city, Missouri","10,788","± 1,397"
"O'Fallon city, Missouri","4,902","± 1,098"
"St. Charles city, Missouri","11,041","± 1,540"
"St. Joseph city, Missouri","10,989","± 1,555"
"St. Louis city, Missouri","80,327","± 3,958"
"Springfield city, Missouri","42,595","± 2,599"
"Billings city, Montana","19,744","± 2,420"
"Missoula city, Montana","20,681","± 1,696"
"Lincoln city, Nebraska","54,096","± 2,690"
"Omaha city, Nebraska","87,463","± 3,890"
"Enterprise CDP, Nevada","32,970","± 4,063"
"Henderson city, Nevada","46,283","± 4,085"
"Las Vegas city, Nevada","109,942","± 5,577"
"North Las Vegas city, Nevada","33,851","± 3,016"
"Paradise CDP, Nevada","42,925","± 3,626"
"Reno city, Nevada","60,874","± 3,316"
"Sparks city, Nevada","16,613","± 1,811"
"Spring Valley CDP, Nevada","47,730","± 4,405"
"Sunrise Manor CDP, Nevada","30,968","± 3,294"
"Manchester city, New Hampshire","25,327","± 2,301"
"Nashua city, New Hampshire","19,219","± 2,312"
"Bayonne city, New Jersey","21,437","± 1,991"
"Camden city, New Jersey","16,511","± 1,725"
"Clifton city, New Jersey","13,138","± 2,121"
"East Orange city, New Jersey","20,076","± 3,266"
"Elizabeth city, New Jersey","33,354","± 2,561"
"Jersey City city, New Jersey","94,317","± 4,094"
"Lakewood CDP, New Jersey","8,148","± 1,821"
"Newark city, New Jersey","82,638","± 4,412"
"Passaic city, New Jersey","16,180","± 1,667"
"Paterson city, New Jersey","33,021","± 2,505"
"Toms River CDP, New Jersey","6,540","± 1,850"
"Trenton city, New Jersey","18,999","± 2,369"
"Union City city, New Jersey","21,607","± 1,659"
"Albuquerque city, New Mexico","91,341","± 4,304"
"Las Cruces city, New Mexico","19,663","± 2,574"
"Rio Rancho city, New Mexico","7,594","± 1,492"
"Santa Fe city, New Mexico","15,604","± 1,740"
"Albany city, New York","30,248","± 2,439"
"Buffalo city, New York","63,875","± 3,451"
"Cheektowaga CDP, New York","8,876","± 1,464"
"Mount Vernon city, New York","13,343","± 2,050"
"New Rochelle city, New York","15,003","± 2,534"
"New York city, New York","2,275,300","± 17,443"
"Rochester city, New York","58,793","± 3,862"
"Schenectady city, New York","16,536","± 1,778"
"Syracuse city, New York","35,971","± 2,684"
"Yonkers city, New York","46,588","± 3,547"
"Apex town, North Carolina","6,297","± 1,564"
"Asheville city, North Carolina","17,202","± 2,363"
"Cary town, North Carolina","23,456","± 2,565"
"Charlotte city, North Carolina","188,835","± 6,249"
"Concord city, North Carolina","16,113","± 2,270"
"Durham city, North Carolina","62,536","± 3,782"
"Fayetteville city, North Carolina","40,410","± 1,897"
"Gastonia city, North Carolina","15,071","± 1,831"
"Greensboro city, North Carolina","65,079","± 4,045"
"Greenville city, North Carolina","27,724","± 2,118"
"High Point city, North Carolina","21,993","± 2,570"
"Huntersville town, North Carolina","6,665","± 1,239"
"Jacksonville city, North Carolina","14,746","± 2,113"
"Raleigh city, North Carolina","110,475","± 5,311"
"Wilmington city, North Carolina","32,064","± 2,437"
"Winston-Salem city, North Carolina","45,787","± 3,199"
"Bismarck city, North Dakota","11,924","± 1,408"
"Fargo city, North Dakota","38,807","± 2,183"
"Akron city, Ohio","39,984","± 3,219"
"Canton city, Ohio","14,406","± 1,857"
"Cincinnati city, Ohio","87,420","± 3,982"
"Cleveland city, Ohio","92,388","± 4,570"
"Columbus city, Ohio","214,714","± 6,176"
"Dayton city, Ohio","28,585","± 2,992"
"Lorain city, Ohio","11,326","± 1,719"
"Parma city, Ohio","9,052","± 1,575"
"Toledo city, Ohio","55,671","± 3,373"
"Broken Arrow city, Oklahoma","12,737","± 1,187"
"Edmond city, Oklahoma","11,124","± 1,883"
"Lawton city, Oklahoma","17,409","± 1,047"
"Norman city, Oklahoma","23,342","± 2,466"
"Oklahoma City city, Oklahoma","124,926","± 5,819"
"Tulsa city, Oklahoma","86,675","± 2,586"
"Beaverton city, Oregon","20,781","± 1,962"
"Bend city, Oregon","19,144","± 2,076"
"Eugene city, Oregon","39,725","± 2,766"
"Gresham city, Oregon","18,468","± 2,332"
"Hillsboro city, Oregon","21,469","± 1,918"
"Medford city, Oregon","15,530","± 1,987"
"Portland city, Oregon","145,097","± 5,011"
"Salem city, Oregon","30,974","± 2,873"
"Allentown city, Pennsylvania","24,383","± 2,394"
"Bethlehem city, Pennsylvania","15,372","± 1,867"
