"Geographic Area Name","Total Cost Burden","MoE"
"San Marcos city, Texas","20,016","± 2,199"
"Sugar Land city, Texas","6,852","± 1,400"
"Temple city, Texas","16,366","± 2,021"
"The Woodlands CDP, Texas","10,758","± 2,068"
"Tyler city, Texas","16,256","± 2,073"
"Victoria city, Texas","11,418","± 1,367"
"Waco city, Texas","27,231","± 2,263"
"Wichita Falls city, Texas","16,108","± 1,686"
"Layton city, Utah","8,180","± 1,332"
"Lehi city, Utah","5,002","± 1,362"
"Ogden city, Utah","12,618","± 1,358"
"Orem city, Utah","12,590","± 1,492"
"Provo city, Utah","20,325","± 1,547"
"St. George city, Utah","13,077","± 2,047"
"Salt Lake City city, Utah","47,158","± 3,266"
"Sandy city, Utah","7,599","± 1,578"
"South Jordan city, Utah","4,591","± 1,490"
"West Jordan city, Utah","8,818","± 1,643"
"West Valley City city, Utah","12,383","± 1,761"
"Alexandria city, Virginia","40,887","± 2,287"
"Arlington CDP, Virginia","60,819","± 3,053"
"Centreville CDP, Virginia","6,444","± 1,081"
"Chesapeake city, Virginia","24,663","± 2,682"
"Dale City CDP, Virginia","4,002","± 1,071"
"Hampton city, Virginia","26,519","± 2,234"
"Lynchburg city, Virginia","13,590","± 1,822"
"Newport News city, Virginia","40,962","± 2,675"
"Norfolk city, Virginia","52,729","± 2,649"
"Portsmouth city, Virginia","17,909","± 1,616"
"Richmond city, Virginia","54,944","± 3,013"
"Roanoke city, Virginia","20,457","± 1,675"
"Suffolk city, Virginia","10,732","± 1,320"
"Virginia Beach city, Virginia","63,631","± 3,396"
"Auburn city, Washington","13,041","± 1,750"
"Bellevue city, Washington","29,144","± 2,348"
"Bellingham city, Washington","24,053","± 2,236"
"Everett city, Washington","23,721","± 1,952"
"Federal Way city, Washington","15,394","± 1,662"
"Kennewick city, Washington","13,475","± 1,770"
"Kent city, Washington","19,892","± 1,821"
"Kirkland city, Washington","14,898","± 1,891"
"Marysville city, Washington","7,036","± 1,452"
"Pasco city, Washington","6,454","± 1,250"
"Redmond city, Washington","18,286","± 2,221"
"Renton city, Washington","20,437","± 2,205"
"Sammamish city, Washington","3,699","± 1,057"
"Seattle city, Washington","190,063","± 5,901"
"South Hill CDP, Washington","4,631","± 1,206"
"Spokane city, Washington","40,249","± 3,032"
"Spokane Valley city, Washington","18,580","± 2,033"
