"Geographic Area Name","50.0 percent or more (2021)","MoE"
"Spokane city, Washington","10,090","± 1,777"
"Spokane Valley city, Washington","4,024","± 1,359"
"Tacoma city, Washington","6,812","± 1,582"
"Vancouver city, Washington","10,407","± 1,713"
"Yakima city, Washington","3,247","± 955"
"Appleton city, Wisconsin","2,159","± 820"
"Eau Claire city, Wisconsin","2,638","± 809"
"Green Bay city, Wisconsin","4,455","± 1,158"
"Janesville city, Wisconsin","1,210","± 431"
"Kenosha city, Wisconsin","3,978","± 1,048"
"Madison city, Wisconsin","17,052","± 2,119"
"Milwaukee city, Wisconsin","35,701","± 3,253"
"Oshkosh city, Wisconsin","2,345","± 865"
"Racine city, Wisconsin","4,292","± 1,232"
"Waukesha city, Wisconsin","2,488","± 880"
"Cheyenne city, Wyoming","1,797","± 791"
